year_month,monthly_total_precip_in
1980-01,
1980-02,12.42
1980-03,13.950000000000001
1980-04,11.650000000000002
1980-05,34.14
1980-06,12.440000000000001
1980-07,13.52
1980-08,27.13
1980-09,20.41
1980-10,27.259999999999998
1980-11,10.36
1980-12,18.750000000000004
1981-01,16.85
1981-02,14.739999999999998
1981-03,42.36999999999999
1981-04,23.88
1981-05,16.12
1981-06,14.19
1981-07,24.89
1981-08,20.83
1981-09,12.180000000000001
1981-10,27.03
1981-11,28.2
1981-12,30.87
1982-01,13.83
1982-02,37.96
1982-03,12.639999999999999
1982-04,7.94
1982-05,13.19
1982-06,11.129999999999999
1982-07,12.59
1982-08,36.83
1982-09,16.330000000000002
1982-10,25.27
1982-11,15.61
1982-12,6.28
1983-01,13.199999999999998
1983-02,11.7
1983-03,11.979999999999999
1983-04,10.4
1983-05,6.47
1983-06,6.760000000000001
1983-07,4.0200000000000005
1983-08,7.040000000000001
1983-09,13.510000000000002
1983-10,26.779999999999998
1983-11,9.969999999999999
1983-12,28.51
1984-01,13.26
1984-02,13.93
1984-03,32.24
1984-04,10.69
1984-05,11.479999999999999
1984-06,12.950000000000001
1984-07,4.9
1984-08,13.350000000000001
1984-09,11.54
1984-10,25.89
1984-11,18.849999999999998
1984-12,38.53
1985-01,20.480000000000004
1985-02,12.120000000000001
1985-03,12.91
1985-04,33.13
1985-05,11.35
1985-06,18.85
1985-07,13.57
1985-08,12.57
1985-09,20.85
1985-10,21.3
1985-11,15.549999999999999
1985-12,6.500000000000001
1986-01,33.75
1986-02,16.580000000000002
1986-03,9.15
1986-04,20.32
1986-05,26.390000000000008
1986-06,10.15
1986-07,11.94
1986-08,11.68
1986-09,34.87
1986-10,10.51
1986-11,14.21
1986-12,27.330000000000002
1987-01,20.259999999999998
1987-02,30.110000000000003
1987-03,11.589999999999998
1987-04,14.649999999999999
1987-05,12.1
1987-06,11.05
1987-07,7.029999999999999
1987-08,12.26
1987-09,3.31
1987-10,10.5
1987-11,9.05
1987-12,23.34
1988-01,11.67
1988-02,18.89
1988-03,19.32
1988-04,13.140000000000002
1988-05,12.24
1988-06,11.09
1988-07,15.269999999999998
1988-08,6.610000000000001
1988-09,14.930000000000001
1988-10,
1988-11,
1988-12,
1989-01,
1989-02,
1989-03,
1989-04,
1989-05,
1989-06,
1989-07,
1989-08,0.83
1989-09,3.4800000000000004
1989-10,19.619999999999997
1989-11,25.11
1989-12,14.7
1990-01,19.42
1990-02,27.0
1990-03,12.94
1990-04,17.779999999999998
1990-05,6.43
1990-06,
1990-07,8.67
1990-08,6.07
1990-09,10.28
1990-10,21.41
1990-11,17.820000000000004
1990-12,13.9
1991-01,17.71
1991-02,31.820000000000004
1991-03,4.19
1991-04,11.160000000000002
1991-05,18.650000000000002
1991-06,13.1
1991-07,19.32
1991-08,7.470000000000001
1991-09,7.49
1991-10,20.810000000000002
1991-11,12.18
1991-12,13.350000000000001
1992-01,17.51
1992-02,22.88
1992-03,26.02
1992-04,42.07
1992-05,24.799999999999997
1992-06,8.89
1992-07,15.44
1992-08,20.09
1992-09,11.07
1992-10,13.74
1992-11,28.520000000000003
1992-12,18.41
1993-01,20.130000000000003
1993-02,14.47
1993-03,24.929999999999996
1993-04,26.09
1993-05,23.0
1993-06,14.829999999999998
1993-07,13.57
1993-08,19.4
1993-09,17.78
1993-10,24.400000000000002
1993-11,17.099999999999998
1993-12,19.44
1994-01,12.639999999999999
1994-02,11.670000000000002
1994-03,14.209999999999997
1994-04,32.86
1994-05,24.89
1994-06,27.150000000000002
1994-07,22.289999999999996
1994-08,24.9
1994-09,15.39
1994-10,34.63
1994-11,40.49
1994-12,31.62
1995-01,19.290000000000003
1995-02,27.030000000000005
1995-03,16.24
1995-04,19.439999999999998
1995-05,18.75
1995-06,16.98
1995-07,14.27
1995-08,28.099999999999998
1995-09,20.66
1995-10,10.999999999999998
1995-11,18.0
1995-12,3.1
1996-01,14.7
1996-02,18.799999999999997
1996-03,17.8
1996-04,14.799999999999999
1996-05,11.8
1996-06,6.77
1996-07,6.2
1996-08,6.1
1996-09,18.1
1996-10,31.200000000000003
1996-11,11.499999999999998
1996-12,17.8
1997-01,34.0
1997-02,12.399999999999999
1997-03,14.4
1997-04,12.2
1997-05,16.1
1997-06,
1997-07,
1997-08,26.2
1997-09,15.399999999999999
1997-10,10.799999999999999
1997-11,10.299999999999999
1997-12,17.1
1998-01,18.299999999999997
1998-02,6.799999999999999
1998-03,
1998-04,
1998-05,
1998-06,14.599999999999998
1998-07,8.0
1998-08,6.699999999999999
1998-09,19.099999999999998
1998-10,13.9
1998-11,16.700000000000003
1998-12,18.000000000000004
1999-01,
1999-02,16.9
1999-03,9.999999999999998
1999-04,3.4
1999-05,34.8
1999-06,4.8
1999-07,3.8000000000000003
1999-08,4.2
1999-09,24.3
1999-10,21.8
1999-11,13.899999999999999
1999-12,15.1
2000-01,19.0
2000-02,17.100000000000005
2000-03,28.700000000000003
2000-04,9.6
2000-05,12.599999999999998
2000-06,2.5
