year_month,monthly_total_precip_in
1980-10,21.479999999999997
1980-11,7.43
1980-12,13.439999999999998
1981-01,14.25
1981-02,14.23
1981-03,25.370000000000005
1981-04,22.0
1981-05,9.25
1981-06,9.470000000000002
1981-07,10.190000000000001
1981-08,10.64
1981-09,4.04
1981-10,16.38
1981-11,10.079999999999998
1981-12,19.580000000000002
1982-01,9.089999999999998
1982-02,30.25
1982-03,7.68
1982-04,4.13
1982-05,7.9
1982-06,4.220000000000001
1982-07,6.96
1982-08,16.200000000000003
1982-09,6.300000000000001
1982-10,4.38
1982-11,6.35
1982-12,2.8400000000000007
1983-01,9.45
1983-02,12.09
1983-03,6.07
1983-04,10.969999999999999
1983-05,1.6099999999999999
1983-06,2.71
1983-07,1.12
1983-08,2.1100000000000003
1983-09,7.779999999999999
1983-10,7.17
1983-11,13.23
1983-12,13.05
1984-01,9.7
1984-02,8.03
1984-03,19.340000000000003
1984-04,6.699999999999999
1984-05,4.79
1984-06,7.44
1984-07,1.8599999999999999
1984-08,4.25
1984-09,5.2299999999999995
1984-10,15.21
1984-11,8.079999999999998
1984-12,26.95
1985-01,16.71
1985-02,8.27
1985-03,4.999999999999999
1985-04,18.66
1985-05,10.41
1985-06,12.6
1985-07,3.9399999999999995
1985-08,5.76
1985-09,9.559999999999999
1985-10,10.39
1985-11,9.24
1985-12,6.270000000000001
1986-01,24.880000000000006
1986-02,9.440000000000001
1986-03,6.88
1986-04,18.830000000000002
1986-05,12.330000000000002
1986-06,5.69
1986-07,8.79
1986-08,5.049999999999999
1986-09,17.67
1986-10,8.870000000000001
1986-11,8.82
1986-12,22.599999999999998
1987-01,17.050000000000004
1987-02,15.009999999999998
1987-03,10.089999999999998
1987-04,8.05
1987-05,5.51
1987-06,4.02
1987-07,3.8600000000000003
1987-08,6.289999999999999
1987-09,0.6300000000000001
1987-10,3.8699999999999997
1987-11,3.83
1987-12,16.42
1988-01,8.34
1988-02,9.32
1988-03,12.76
1988-04,10.569999999999999
1988-05,9.76
1988-06,6.1499999999999995
1988-07,9.419999999999998
1988-08,3.98
1988-09,6.78
1988-10,9.209999999999999
1988-11,16.1
1988-12,24.389999999999997
1989-01,18.370000000000005
1989-02,14.690000000000001
1989-03,8.2
1989-04,13.6
1989-05,7.51
1989-06,5.430000000000001
1989-07,9.56
1989-08,0.29000000000000004
1989-09,1.2700000000000002
