year_month,monthly_total_precip_in
1993-03,6.72
1993-04,22.810000000000002
1993-05,13.04
1993-06,5.8100000000000005
1993-07,10.790000000000001
1993-08,14.75
1993-09,18.1
1993-10,22.249999999999996
1993-11,12.7
1993-12,16.340000000000003
1994-01,12.080000000000002
1994-02,7.859999999999999
1994-03,15.870000000000001
1994-04,32.32
1994-05,22.100000000000005
1994-06,21.680000000000003
1994-07,22.919999999999998
1994-08,26.800000000000004
1994-09,10.059999999999999
1994-10,28.099999999999998
1994-11,32.53
1994-12,26.549999999999997
1995-01,24.28
1995-02,24.73
1995-03,13.54
1995-04,18.419999999999998
1995-05,15.99
1995-06,14.719999999999999
1995-07,13.01
1995-08,21.36
1995-09,23.6
1995-10,9.17
1995-11,10.13
1995-12,4.78
1996-01,12.02
