year_month,monthly_total_precip_in
1997-04,3.7000000000000006
1997-05,9.700000000000001
1997-06,2.5999999999999996
1997-07,2.0
1997-08,
1997-09,
1997-10,3.0999999999999996
1997-11,4.5
1997-12,4.6
1998-01,10.599999999999998
1998-02,2.1
1998-03,15.7
1998-04,1.5
1998-05,1.6
1998-06,4.1
1998-07,1.1
1998-08,1.6000000000000003
1998-09,2.3
1998-10,3.3000000000000003
1998-11,2.7
1998-12,12.8
1999-01,11.6
1999-02,7.499999999999999
1999-03,4.7
1999-04,2.4
1999-05,22.9
1999-06,
1999-07,
1999-08,
1999-09,
1999-10,
1999-11,
1999-12,
2000-01,
2000-02,
2000-03,
2000-04,
2000-05,
2000-06,
2000-07,
2000-08,
2000-09,
2000-10,18.599999999999998
2000-11,9.199999999999998
2000-12,8.1
2001-01,8.200000000000001
2001-02,
2001-03,
2001-04,
2001-05,
2001-06,10.900000000000002
2001-07,4.3
2001-08,2.3
2001-09,6.099999999999999
2001-10,
2001-11,10.5
2001-12,
2002-01,
2002-02,
2002-03,
2002-04,
2002-05,
2002-06,3.900000000000001
2002-07,3.1
