year_month,monthly_total_precip_in
1997-12,3.3999999999999995
1998-01,12.5
1998-02,
1998-03,
1998-04,1.9000000000000001
1998-05,2.5
1998-06,6.1000000000000005
1998-07,1.4000000000000001
1998-08,0.9999999999999999
1998-09,4.3
1998-10,5.3999999999999995
1998-11,1.8
1998-12,13.400000000000002
1999-01,12.099999999999998
1999-02,10.700000000000001
1999-03,6.8
1999-04,2.8
1999-05,27.800000000000004
1999-06,
1999-07,
1999-08,3.9999999999999996
1999-09,
1999-10,9.299999999999999
1999-11,14.2
1999-12,7.3999999999999995
2000-01,19.299999999999997
2000-02,14.5
2000-03,20.700000000000003
2000-04,10.0
2000-05,14.100000000000001
2000-06,
2000-07,
2000-08,
2000-09,
2000-10,
2000-11,
2000-12,11.700000000000001
2001-01,8.0
2001-02,15.2
2001-03,24.5
2001-04,6.0
2001-05,11.199999999999998
2001-06,11.1
2001-07,4.5
2001-08,3.6000000000000005
2001-09,5.399999999999999
2001-10,
2001-11,
2001-12,
2002-01,10.899999999999999
2002-02,7.3
2002-03,
2002-04,
2002-05,12.7
2002-06,5.3
2002-07,14.499999999999995
2002-08,
2002-09,
2002-10,10.2
2002-11,
2002-12,
2003-01,12.3
2003-02,13.700000000000001
2003-03,8.999999999999998
2003-04,7.800000000000001
2003-05,11.700000000000003
2003-06,6.6
2003-07,11.500000000000002
2003-08,6.699999999999999
2003-09,2.4000000000000004
2003-10,6.700000000000001
2003-11,21.900000000000002
2003-12,14.1
2004-01,12.1
2004-02,12.999999999999998
2004-03,12.9
2004-04,7.1
2004-05,3.3
2004-06,3.3000000000000007
2004-07,8.2
2004-08,6.6
2004-09,5.5
2004-10,11.899999999999999
2004-11,5.8
2004-12,8.1
2005-01,11.2
2005-02,11.600000000000001
2005-03,12.9
2005-04,9.599999999999998
2005-05,10.8
2005-06,10.7
2005-07,6.1000000000000005
2005-08,13.4
2005-09,12.6
2005-10,4.5
2005-11,9.6
2005-12,17.400000000000002
2006-01,24.7
2006-02,22.7
2006-03,7.199999999999999
2006-04,5.800000000000001
2006-05,12.0
2006-06,2.5
2006-07,9.5
2006-08,6.9
2006-09,20.700000000000003
2006-10,11.200000000000001
2006-11,16.900000000000002
2006-12,
2007-01,
2007-02,13.1
2007-03,
2007-04,5.3
2007-05,20.75
2007-06,4.76
2007-07,5.819999999999999
2007-08,5.259999999999999
2007-09,14.54
2007-10,14.5
2007-11,13.020000000000001
2007-12,16.150000000000002
2008-01,22.400000000000006
2008-02,8.059999999999999
2008-03,10.05
2008-04,8.15
2008-05,13.849999999999998
2008-06,7.55
2008-07,5.62
2008-08,3.0199999999999996
2008-09,3.7500000000000004
2008-10,2.21
