year_month,monthly_total_precip_in
1990-08,0.44
1990-09,
1990-10,14.35
1990-11,19.090000000000003
1990-12,15.990000000000002
1991-01,21.450000000000003
1991-02,31.700000000000003
1991-03,8.48
1991-04,16.13
1991-05,15.129999999999999
1991-06,13.02
1991-07,14.25
1991-08,6.3500000000000005
1991-09,7.109999999999999
1991-10,16.130000000000003
1991-11,11.470000000000002
1991-12,
1992-01,20.25
1992-02,17.87
1992-03,23.35
1992-04,35.7
1992-05,19.630000000000003
1992-06,4.29
1992-07,9.04
1992-08,10.780000000000001
1992-09,9.02
1992-10,12.52
1992-11,28.630000000000003
1992-12,14.12
1993-01,26.320000000000004
1993-02,15.559999999999997
1993-03,21.33
1993-04,21.670000000000005
1993-05,11.370000000000001
1993-06,6.54
1993-07,8.53
1993-08,10.02
1993-09,11.020000000000001
1993-10,18.72
1993-11,12.200000000000001
1993-12,16.740000000000002
1994-01,12.55
1994-02,8.23
1994-03,15.989999999999998
1994-04,37.77
1994-05,23.38
1994-06,22.889999999999997
1994-07,24.130000000000003
1994-08,21.610000000000003
1994-09,6.46
1994-10,23.310000000000002
1994-11,28.26
1994-12,26.750000000000004
1995-01,22.75
1995-02,21.84
1995-03,14.399999999999999
1995-04,18.009999999999998
1995-05,17.2
1995-06,15.7
1995-07,10.389999999999999
1995-08,19.6
1995-09,11.299999999999999
1995-10,7.3999999999999995
1995-11,
1995-12,
1996-01,
1996-02,
1996-03,
1996-04,
1996-05,
1996-06,9.899999999999999
1996-07,4.699999999999999
1996-08,2.5999999999999996
1996-09,14.0
1996-10,32.699999999999996
1996-11,
1996-12,
1997-01,33.8
1997-02,11.1
1997-03,15.5
1997-04,7.699999999999999
1997-05,15.6
1997-06,
1997-07,
1997-08,17.1
1997-09,10.899999999999999
1997-10,4.3999999999999995
1997-11,8.6
1997-12,12.299999999999999
1998-01,15.0
1998-02,
1998-03,
1998-04,1.8
1998-05,3.5
1998-06,8.299999999999999
1998-07,4.5
1998-08,2.9000000000000004
1998-09,8.899999999999999
1998-10,10.1
1998-11,8.499999999999998
1998-12,15.900000000000002
1999-01,16.1
1999-02,16.8
1999-03,5.6
1999-04,5.1
1999-05,31.8
1999-06,6.3
1999-07,5.2
1999-08,6.3999999999999995
1999-09,22.05
1999-10,9.32
1999-11,18.970000000000002
1999-12,13.02
2000-01,19.8
2000-02,13.91
2000-03,27.250000000000004
2000-04,6.44
2000-05,14.200000000000001
2000-06,13.1
2000-07,9.149999999999999
2000-08,
2000-09,
2000-10,14.799999999999999
2000-11,
2000-12,
2001-01,
2001-02,
2001-03,
2001-04,13.2
2001-05,7.3999999999999995
2001-06,9.499999999999998
2001-07,9.1
2001-08,13.5
2001-09,10.4
2001-10,15.799999999999999
2001-11,9.899999999999999
2001-12,22.3
2002-01,9.0
2002-02,
2002-03,
2002-04,21.400000000000002
2002-05,17.3
2002-06,10.6
2002-07,14.5
2002-08,
2002-09,
2002-10,20.500000000000004
2002-11,18.1
2002-12,10.299999999999999
2003-01,13.899999999999999
2003-02,12.9
2003-03,14.299999999999999
2003-04,12.299999999999999
2003-05,22.800000000000004
2003-06,8.7
2003-07,20.4
2003-08,10.1
2003-09,8.799999999999999
2003-10,7.199999999999999
2003-11,25.600000000000005
2003-12,16.6
2004-01,14.6
2004-02,15.299999999999999
2004-03,15.9
2004-04,8.5
2004-05,6.8
2004-06,5.2
2004-07,15.499999999999998
2004-08,4.199999999999999
2004-09,6.699999999999999
2004-10,15.399999999999999
2004-11,5.3
2004-12,16.299999999999997
2005-01,17.9
2005-02,10.7
2005-03,9.399999999999999
2005-04,15.500000000000002
2005-05,13.7
2005-06,23.2
2005-07,11.699999999999998
2005-08,23.500000000000004
2005-09,26.8
2005-10,15.299999999999997
2005-11,21.400000000000002
2005-12,37.5
2006-01,34.6
2006-02,
2006-03,9.7
2006-04,6.0
2006-05,11.399999999999999
2006-06,9.5
2006-07,16.6
2006-08,14.700000000000003
2006-09,
2006-10,12.899999999999999
2006-11,24.5
2006-12,
2007-01,
2007-02,
2007-03,
2007-04,5.38
2007-05,25.86
2007-06,10.08
2007-07,10.66
2007-08,8.22
2007-09,25.259999999999998
2007-10,23.350000000000005
2007-11,23.01
2007-12,21.700000000000003
2008-01,31.02
2008-02,8.81
2008-03,10.43
2008-04,
2008-05,
2008-06,14.909999999999998
2008-07,8.67
2008-08,6.21
2008-09,4.939999999999999
2008-10,4.1
