year_month,monthly_total_precip_in
2001-12,7.748031495999999
2002-01,9.031496062000002
2002-02,6.086614176
2002-03,13.393700785
2002-04,12.12992126
2002-05,
2002-06,
2002-07,
2002-08,
2002-09,
2002-10,
2002-11,
2002-12,
2003-01,
2003-02,
2003-03,
2003-04,
2003-05,
2003-06,5.842519684
2003-07,12.503937007
2003-08,7.9330708670000005
2003-09,3.0748031510000002
2003-10,5.531496062
2003-11,20.263779526
2003-12,12.893700785
2004-01,9.999999998999998
2004-02,9.417322835999999
2004-03,12.015748033999998
2004-04,6.8385826750000005
