year_month,monthly_total_precip_in
1980-01,
1980-02,9.090000000000002
1980-03,15.040000000000001
1980-04,8.679999999999998
1980-05,30.33
1980-06,11.6
1980-07,15.25
1980-08,15.52
1980-09,
1980-10,
1980-11,
1980-12,17.89
1981-01,11.38
1981-02,15.57
1981-03,31.809999999999995
1981-04,21.2
1981-05,13.499999999999998
1981-06,12.14
1981-07,17.37
1981-08,17.26
1981-09,9.320000000000002
1981-10,20.449999999999996
1981-11,22.47
1981-12,24.32
1982-01,18.910000000000004
1982-02,27.98
1982-03,8.11
1982-04,2.9000000000000004
1982-05,9.940000000000001
1982-06,5.859999999999999
1982-07,7.9
1982-08,23.749999999999996
1982-09,9.389999999999999
1982-10,8.51
1982-11,6.080000000000001
1982-12,2.67
1983-01,8.109999999999998
1983-02,8.809999999999999
1983-03,3.67
1983-04,6.959999999999999
1983-05,3.4500000000000006
1983-06,3.3400000000000003
1983-07,1.5399999999999998
1983-08,3.8599999999999994
1983-09,4.87
1983-10,15.24
1983-11,9.030000000000001
1983-12,21.389999999999997
1984-01,11.23
1984-02,9.16
1984-03,28.039999999999996
1984-04,7.33
1984-05,6.64
1984-06,9.22
1984-07,2.56
1984-08,8.35
1984-09,8.370000000000001
1984-10,20.82
1984-11,11.6
1984-12,32.13
1985-01,20.599999999999998
1985-02,5.24
1985-03,2.56
1985-04,17.53
1985-05,10.42
1985-06,6.86
1985-07,9.069999999999999
1985-08,6.819999999999999
1985-09,16.52
1985-10,18.39
1985-11,13.850000000000001
1985-12,
1986-01,33.339999999999996
1986-02,17.150000000000002
1986-03,10.55
1986-04,17.7
1986-05,18.060000000000002
1986-06,8.23
1986-07,8.53
1986-08,7.59
1986-09,19.07
1986-10,14.0
1986-11,13.149999999999999
1986-12,26.14
1987-01,
1987-02,
1987-03,
1987-04,
1987-05,
1987-06,
1987-07,
1987-08,
1987-09,
1987-10,
1987-11,
1987-12,
1988-01,
1988-02,
1988-03,
1988-04,
1988-05,
1988-06,
1988-07,
1988-08,
1988-09,
1988-10,
1988-11,
1988-12,
1989-01,
1989-02,
1989-03,
1989-04,
1989-05,
1989-06,
1989-07,
1989-08,0.2
1989-09,1.88
1989-10,11.73
1989-11,21.84
1989-12,9.639999999999999
1990-01,15.52
1990-02,20.139999999999997
1990-03,8.690000000000001
1990-04,20.3
1990-05,3.1199999999999997
1990-06,9.5
1990-07,5.52
1990-08,4.22
1990-09,8.599999999999998
1990-10,11.299999999999999
1990-11,12.469999999999999
1990-12,9.48
1991-01,12.040000000000001
1991-02,24.439999999999994
1991-03,4.92
1991-04,9.05
1991-05,10.99
1991-06,8.5
1991-07,11.540000000000001
1991-08,5.61
1991-09,6.380000000000001
1991-10,16.91
1991-11,9.320000000000002
1991-12,14.23
1992-01,14.170000000000002
1992-02,15.37
1992-03,20.54
1992-04,32.28
1992-05,19.05
1992-06,4.92
1992-07,13.799999999999999
1992-08,18.18
1992-09,8.440000000000001
1992-10,7.25
1992-11,14.169999999999998
1992-12,10.09
1993-01,16.900000000000002
1993-02,
1993-03,
1993-04,
1993-05,
1993-06,
1993-07,
1993-08,
1993-09,
1993-10,
1993-11,
1993-12,
1994-01,
1994-02,
1994-03,
1994-04,
1994-05,
1994-06,
1994-07,
1994-08,
1994-09,
1994-10,
1994-11,
1994-12,
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,18.200000000000003
1995-09,9.399999999999999
1995-10,17.500000000000004
1995-11,8.2
1995-12,3.3000000000000003
1996-01,12.299999999999999
1996-02,13.5
1996-03,16.700000000000003
1996-04,11.2
1996-05,7.7
1996-06,10.799999999999997
1996-07,5.0
1996-08,2.81
1996-09,17.999999999999996
1996-10,21.300000000000004
1996-11,10.499999999999998
1996-12,16.4
1997-01,25.2
1997-02,11.000000000000002
1997-03,10.899999999999999
1997-04,2.8
