year_month,monthly_total_precip_in
2012-03,
2012-04,5.120000000000001
2012-05,11.75
2012-06,7.320000000000001
2012-07,6.3100000000000005
2012-08,4.9399999999999995
2012-09,6.620000000000001
2012-10,5.499999999999999
2012-11,10.240000000000002
2012-12,10.59
2013-01,
2013-02,
2013-03,
2013-04,
2013-05,
2013-06,6.96
2013-07,6.86
2013-08,11.75
2013-09,5.1
2013-10,9.350000000000001
2013-11,5.580000000000001
2013-12,7.39
2014-01,14.989999999999997
2014-02,10.680000000000001
2014-03,9.5
2014-04,15.74
2014-05,5.12
2014-06,5.8
2014-07,15.899999999999999
2014-08,5.5200000000000005
2014-09,3.4399999999999995
2014-10,4.419999999999999
2014-11,8.5
2014-12,13.41
2015-01,16.04
2015-02,7.5600000000000005
2015-03,7.609999999999999
2015-04,7.03
2015-05,14.520000000000001
2015-06,12.239999999999998
2015-07,9.73
2015-08,7.6499999999999995
2015-09,2.11
2015-10,16.220000000000002
2015-11,
2015-12,
2016-01,
2016-02,
2016-03,
2016-04,
2016-05,
2016-06,
2016-07,
2016-08,
2016-09,
2016-10,
2016-11,7.35
2016-12,10.969999999999999
2017-01,8.239999999999998
2017-02,14.73
2017-03,5.22
2017-04,7.13
2017-05,17.590000000000007
2017-06,9.420000000000002
2017-07,6.5200000000000005
2017-08,8.31
2017-09,5.47
2017-10,13.76
2017-11,8.700000000000001
2017-12,9.15
2018-01,10.469999999999999
2018-02,23.02
2018-03,6.300000000000001
2018-04,11.86
2018-05,9.51
2018-06,2.79
2018-07,7.5600000000000005
2018-08,5.699999999999999
2018-09,4.78
2018-10,7.219999999999999
2018-11,10.259999999999998
2018-12,16.969999999999995
2019-01,8.889999999999999
2019-02,16.11
2019-03,4.960000000000001
2019-04,7.87
2019-05,13.05
2019-06,4.2
2019-07,8.829999999999998
2019-08,4.86
2019-09,3.5999999999999996
2019-10,
2019-11,5.220000000000001
2019-12,12.25
2020-01,12.73
2020-02,17.32
2020-03,6.039999999999999
2020-04,11.47
2020-05,
2020-06,14.979999999999999
2020-07,14.32
2020-08,8.14
2020-09,12.33
2020-10,13.470000000000002
2020-11,18.6
2020-12,10.020000000000001
2021-01,12.68
2021-02,15.899999999999999
2021-03,5.56
2021-04,7.33
2021-05,4.53
2021-06,10.150000000000002
2021-07,
2021-08,10.2
2021-09,
2021-10,
2021-11,
2021-12,5.24
2022-01,7.409999999999998
2022-02,14.85
2022-03,4.0
2022-04,4.6499999999999995
2022-05,8.709999999999999
2022-06,7.2700000000000005
2022-07,7.139999999999999
2022-08,6.82
2022-09,2.5300000000000002
2022-10,8.679999999999998
2022-11,10.889999999999999
2022-12,8.100000000000001
2023-01,13.709999999999999
2023-02,7.79
2023-03,12.119999999999997
2023-04,11.090000000000002
2023-05,9.57
2023-06,8.73
2023-07,8.74
2023-08,2.19
2023-09,
2023-10,10.569999999999997
2023-11,3.77
2023-12,17.66
2024-01,15.309999999999999
2024-02,22.56
2024-03,6.3
2024-04,8.05
2024-05,
2024-06,16.470000000000002
2024-07,11.67
2024-08,9.780000000000001
2024-09,
2024-10,1.5100000000000002
