year_month,monthly_total_precip_in
1958-07,
1958-08,
1958-09,
1958-10,
1958-11,
1958-12,
1959-01,
1959-02,
1959-03,
1959-04,
1959-05,
1959-06,
1959-07,
1959-08,
1959-09,
1959-10,
1959-11,
1959-12,
1960-01,
1960-02,
1960-03,
1960-04,
1960-05,
1960-06,
1960-07,
1960-08,
1960-09,
1960-10,
1960-11,
1960-12,
1961-01,
1961-02,
1961-03,
1961-04,
1961-05,
1961-06,
1961-07,
1961-08,
1961-09,3.7999999999999994
1961-10,
1961-11,21.599999999999998
1961-12,12.999999999999998
1962-01,24.599999999999998
1962-02,34.15
1962-03,13.600000000000001
1962-04,23.849999999999998
1962-05,21.900000000000002
1962-06,17.05
1962-07,
1962-08,34.650000000000006
1962-09,12.749999999999998
1962-10,12.55
1962-11,20.299999999999997
1962-12,
1963-01,13.750000000000004
1963-02,
1963-03,24.3
1963-04,20.65
1963-05,26.099999999999998
1963-06,6.500000000000001
1963-07,3.7
1963-08,16.88
1963-09,6.199999999999999
1963-10,34.849999999999994
1963-11,10.499999999999998
1963-12,10.799999999999999
1964-01,24.200000000000003
1964-02,24.200000000000003
1964-03,11.350000000000001
1964-04,
1964-05,19.649999999999995
1964-06,24.05
1964-07,16.9
1964-08,7.8100000000000005
1964-09,26.41
1964-10,11.450000000000001
1964-11,18.25
1964-12,27.800000000000004
1965-01,21.95
1965-02,16.830000000000002
1965-03,14.25
1965-04,28.400000000000002
1965-05,25.299999999999997
1965-06,20.299999999999997
1965-07,4.249999999999999
1965-08,8.05
1965-09,9.850000000000001
1965-10,37.900000000000006
1965-11,0.65
1965-12,12.45
1966-01,
1966-02,
1966-03,
1966-04,
1966-05,
1966-06,
1966-07,
1966-08,
1966-09,
1966-10,
1966-11,
1966-12,
1967-01,
1967-02,
1967-03,
1967-04,
1967-05,
1967-06,
1967-07,
1967-08,
1967-09,
1967-10,
1967-11,
1967-12,
1968-01,
1968-02,
1968-03,
1968-04,
1968-05,
1968-06,
1968-07,
1968-08,
1968-09,
1968-10,
1968-11,
1968-12,
1969-01,13.549999999999997
1969-02,12.05
1969-03,10.0
1969-04,9.000000000000002
1969-05,5.949999999999999
1969-06,1.85
1969-07,16.05
1969-08,15.05
1969-09,0.7
1969-10,14.3
1969-11,9.85
1969-12,8.0
1970-01,5.799999999999999
1970-02,3.5
1970-03,13.55
1970-04,8.600000000000001
1970-05,6.4
1970-06,7.75
1970-07,3.6000000000000005
1970-08,6.1
1970-09,8.850000000000001
1970-10,4.3
1970-11,6.3500000000000005
1970-12,19.4
1971-01,8.95
1971-02,9.0
1971-03,5.25
1971-04,9.25
1971-05,4.55
1971-06,9.25
1971-07,0.9
1971-08,4.4
1971-09,1.6
1971-10,2.9999999999999996
1971-11,5.95
1971-12,9.3
1972-01,13.299999999999999
1972-02,16.349999999999998
1972-03,13.350000000000001
1972-04,4.1499999999999995
1972-05,6.25
1972-06,4.3999999999999995
1972-07,6.1499999999999995
1972-08,8.7
1972-09,
1972-10,12.200000000000001
1972-11,6.55
1972-12,18.35
1973-01,19.699999999999996
1973-02,9.2
1973-03,3.9000000000000004
1973-04,4.15
1973-05,7.65
1973-06,8.9
1973-07,11.4
1973-08,8.55
1973-09,
1973-10,20.300000000000004
1973-11,11.55
1973-12,
1974-01,
1974-02,7.300000000000001
1974-03,8.77
1974-04,6.47
1974-05,1.71
1974-06,9.94
1974-07,2.8899999999999997
1974-08,0.0
1974-09,1.51
1974-10,6.469999999999999
1974-11,5.78
1974-12,6.879999999999999
1975-01,5.880000000000001
1975-02,1.11
1975-03,1.05
1975-04,3.9799999999999995
1975-05,4.19
1975-06,2.06
1975-07,1.81
1975-08,2.88
1975-09,1.6500000000000001
1975-10,0.49
1975-11,1.31
1975-12,
1976-01,1.4400000000000002
1976-02,1.79
1976-03,0.5800000000000001
1976-04,1.83
1976-05,2.6900000000000004
1976-06,1.13
1976-07,2.15
1976-08,0.62
1976-09,
1976-10,0.78
1976-11,1.12
1976-12,3.46
1977-01,1.3
1977-02,1.05
1977-03,1.9000000000000001
1977-04,
1977-05,5.0600000000000005
1977-06,1.07
1977-07,
1977-08,0.54
1977-09,
1977-10,
1977-11,2.34
1977-12,1.3499999999999999
1978-01,4.04
1978-02,1.22
1978-03,3.8400000000000003
1978-04,1.7
1978-05,3.16
1978-06,1.1400000000000001
1978-07,1.19
1978-08,2.8600000000000003
1978-09,1.25
1978-10,1.53
1978-11,
1978-12,
1979-01,4.33
1979-02,4.54
1979-03,4.08
1979-04,4.760000000000001
1979-05,1.7600000000000002
1979-06,1.6900000000000002
1979-07,2.1
1979-08,1.4800000000000004
1979-09,3.9200000000000004
1979-10,2.65
1979-11,1.2100000000000002
1979-12,0.89
1980-01,2.02
1980-02,1.0300000000000002
1980-03,2.34
1980-04,1.78
1980-05,4.16
1980-06,2.58
1980-07,3.6400000000000006
1980-08,4.06
1980-09,7.7
1980-10,6.24
1980-11,4.43
1980-12,4.640000000000001
1981-01,
1981-02,3.38
1981-03,6.050000000000001
1981-04,7.440000000000001
1981-05,5.930000000000001
1981-06,
1981-07,7.360000000000001
1981-08,6.949999999999999
1981-09,4.869999999999999
1981-10,11.09
1981-11,12.450000000000001
1981-12,14.899999999999999
1982-01,8.200000000000001
1982-02,17.55
1982-03,6.0
1982-04,1.8599999999999999
1982-05,5.609999999999999
1982-06,4.01
1982-07,5.39
1982-08,18.65
1982-09,8.329999999999998
1982-10,7.01
1982-11,5.8100000000000005
1982-12,2.54
1983-01,6.869999999999999
1983-02,8.51
1983-03,3.2700000000000005
1983-04,
1983-05,2.2800000000000002
1983-06,2.78
1983-07,1.58
1983-08,
1983-09,6.01
1983-10,
1983-11,6.390000000000001
1983-12,16.02
1984-01,7.8100000000000005
1984-02,5.53
1984-03,18.87
1984-04,4.19
1984-05,4.33
1984-06,6.619999999999999
1984-07,1.2300000000000002
1984-08,5.609999999999999
1984-09,8.2
1984-10,15.310000000000002
1984-11,9.19
1984-12,21.7
1985-01,15.39
1985-02,3.46
1985-03,2.14
1985-04,13.42
1985-05,5.89
1985-06,7.21
1985-07,6.290000000000001
1985-08,6.5
1985-09,11.26
1985-10,11.040000000000001
1985-11,7.8
1985-12,4.45
1986-01,24.700000000000003
1986-02,10.589999999999998
1986-03,
1986-04,
1986-05,
1986-06,
1986-07,
1986-08,
1986-09,
1986-10,
1986-11,
1986-12,
1987-01,
1987-02,
1987-03,
1987-04,
1987-05,
1987-06,
1987-07,
1987-08,5.32
1987-09,
1987-10,
1987-11,
1987-12,
1988-01,
1988-02,
1988-03,
1988-04,
1988-05,
1988-06,
1988-07,
1988-08,
1988-09,
1988-10,
1988-11,
1988-12,
1989-01,
1989-02,
1989-03,
1989-04,
1989-05,
1989-06,
1989-07,
1989-08,0.55
1989-09,1.98
1989-10,9.28
