trial,value,local_dem_cfg,regional_dem_cfg,reanalysis_patch_size,lightweight,lambda_bce,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
0,263.0000566858842,2,7,3,True,0.5,225,48,10,4,256,64,0.35,2.310201887845294e-06,2.3270677083837777e-05,256
1,261.43187979878786,4,1,5,False,1.0,150,48,3,16,64,16,0.6,8.536189862866841e-05,0.0004138040112561013,512
2,255.500184822462,0,3,5,False,1.25,150,48,4,24,208,64,0.6,1.569639638866115e-05,0.0006978281265126031,1024
3,243.88887014856792,2,2,3,False,0.75,210,16,12,20,64,16,0.55,2.59247566047516e-05,0.0002870875348195468,128
4,246.72541401378416,6,4,3,False,2.5,180,64,7,4,192,64,0.45,3.482846706526883e-05,9.718319944817387e-05,128
5,265.7016602307599,0,5,5,True,1.5,195,16,3,8,64,64,0.55,1.8484491720988615e-05,0.0005532496914298506,512
6,241.56837164314663,5,7,3,False,2.5,225,16,8,12,80,16,0.4,7.688106801474963e-05,4.4300218067679785e-05,1024
7,252.55319134803048,6,2,3,True,2.0,150,16,5,24,80,16,0.45,9.360540102485371e-05,3.048670883458067e-05,256
8,257.31401099511464,2,5,3,False,1.25,90,16,8,20,32,48,0.35,1.9513967655934464e-05,2.2321987366901545e-05,512
9,247.65800175470417,2,0,3,False,2.5,165,48,5,4,240,64,0.5,4.7649635421385214e-06,4.993662066506419e-05,256
10,281.22528325993653,4,7,5,True,3.0,60,32,8,12,144,32,0.3,6.093050046703389e-06,0.00013908262003231028,1024
11,247.2420344665401,4,2,3,False,2.0,240,32,12,16,112,32,0.4,3.919289071018772e-05,0.0002091378450630423,128
12,245.08771343513573,5,5,3,False,0.5,210,16,12,12,112,16,0.5,4.500113265438293e-05,6.30901265828857e-05,128
13,248.38811589067282,3,3,3,False,3.0,240,32,10,20,32,32,0.5,4.711285717844135e-05,1.0539004117428907e-05,1024
14,249.28009820208445,1,6,3,False,2.5,210,16,10,20,112,16,0.4,8.933068202745466e-06,0.00027552819764876984,128
15,244.82335519276862,3,0,3,False,2.0,195,32,7,12,160,48,0.55,7.217601561915284e-05,0.00013242163728012526,1024
16,240.93198964383933,5,2,3,False,0.75,120,64,11,16,80,32,0.4,2.6030967889390658e-05,0.0008848268281287973,128
17,291.59660443831444,5,4,3,False,1.75,120,64,9,8,96,32,0.4,1.1414961135986045e-06,0.0009237126438812619,1024
18,251.46526497055444,5,1,5,True,2.25,120,64,6,16,144,48,0.3,1.0405779368679398e-05,5.148276691665789e-05,128
19,241.487180983922,6,6,3,False,2.75,120,64,11,8,48,32,0.35,5.86246358684118e-05,1.6222890991795746e-05,1024
20,247.34879233880056,6,6,3,False,1.0,105,64,11,8,32,32,0.35,2.6574342394862625e-05,1.0239190708144197e-05,1024
21,247.0408547855768,5,6,3,False,2.75,75,64,9,8,80,32,0.4,5.98955135969836e-05,1.6345484795956255e-05,1024
22,249.51867614381717,6,7,3,False,2.75,120,48,11,12,48,48,0.35,6.551564292835472e-05,3.508270755123933e-05,1024
23,248.46610447951275,5,6,3,False,2.25,135,64,11,16,96,16,0.4,2.917511261124944e-05,1.651224191971828e-05,1024
24,252.34335287186718,4,7,3,False,2.75,105,64,9,12,128,32,0.3,5.650764684774091e-05,7.233720788672468e-05,1024
25,240.39716152326847,6,4,3,False,1.75,90,48,11,8,48,32,0.45,1.4909969180977257e-05,3.10553184574588e-05,128
26,260.94180643613504,6,3,5,True,1.5,90,48,11,8,48,32,0.45,1.0249287142473488e-05,1.8961343697661277e-05,128
27,248.7124661941342,6,4,3,False,1.75,60,64,10,4,48,48,0.45,1.3728889190662842e-05,3.126196236800439e-05,128
28,246.23314560299914,6,1,3,False,0.75,90,48,12,8,64,32,0.35,5.60014231051633e-06,1.3686597606072074e-05,128
29,260.61083788315995,5,5,3,True,0.5,135,48,10,4,96,48,0.35,3.2490421908984213e-06,2.4460017796977663e-05,256
30,251.21788007855912,4,2,3,False,1.5,105,64,11,16,176,32,0.5,2.2218070665646352e-05,8.74348483950273e-05,128
31,252.10358004947133,5,7,3,False,2.25,75,32,9,12,80,16,0.4,3.61755125652818e-05,3.700050698079806e-05,512
32,236.8120770066822,6,6,3,False,3.0,135,48,10,8,48,16,0.4,8.476638669430733e-05,4.226151575754291e-05,256
33,250.24707468746382,6,4,3,False,3.0,135,48,11,8,48,32,0.45,9.682852339423213e-05,2.5559282197610078e-05,256
34,258.6712585598412,6,6,5,False,1.0,150,48,12,4,32,16,0.4,1.4302992270034115e-05,0.00013962102103076416,256
35,242.460661711715,6,3,3,False,1.25,120,48,10,8,64,32,0.35,5.136413783528212e-05,0.0003616202068319866,256
36,241.26194863940273,5,5,3,False,2.75,165,64,11,4,64,16,0.45,3.58755174912331e-05,0.0005569368820638822,128
37,244.68206211091493,3,5,5,False,3.0,165,64,12,4,64,16,0.45,3.0808731716810475e-05,0.0006241269660680197,128
38,238.9238514908267,5,4,3,True,0.75,165,48,9,4,256,16,0.45,2.330529774745763e-05,0.0009928050859575911,128
39,246.8268809792927,4,3,3,True,0.75,180,48,9,4,256,16,0.5,8.123076913145945e-06,0.0007807921812014122,128
40,248.68766712490955,1,2,3,True,0.75,135,48,10,20,224,16,0.6,1.912503256697564e-05,0.0004250045116259669,512
41,240.58047946270236,5,4,3,True,1.25,165,48,10,4,208,16,0.45,2.2950233132281992e-05,0.0009393795681108724,128
42,250.971546519309,5,4,3,True,1.25,180,48,8,4,224,16,0.45,1.5720595424980915e-05,0.0009784093704855424,128
43,247.64784264237096,4,4,3,True,1.0,165,48,9,4,192,16,0.45,2.3763691561486943e-05,0.0007817282136313922,128
44,243.88733155207046,5,3,3,True,0.5,150,32,10,16,240,16,0.5,1.356593789737519e-05,0.0004920159546606389,128
45,241.04954569109907,5,4,3,True,1.5,180,48,8,8,208,16,0.4,1.7248091926445478e-05,0.0006928839002100428,256
46,252.41475025654245,4,2,5,True,1.25,150,48,7,4,256,16,0.45,1.2209079482542773e-05,0.000325739278580058,128
47,248.01085445635317,6,5,3,True,1.0,195,32,10,24,240,16,0.55,7.353459421585987e-06,0.00022635133895836492,128
48,243.73534153125146,6,3,3,True,0.75,165,32,3,4,176,64,0.4,2.1045987462101744e-05,0.0004624812128395512,256
49,243.76688638411542,5,1,3,True,1.75,135,48,9,8,208,16,0.5,4.235156546143053e-05,0.000814547995585384,512
