station,local_valid_cells,local_total_cells,local_valid_frac,local_center_m,regional_valid_cells,regional_total_cells,regional_valid_frac,regional_center_m
aunuu_UH,22,121,0.18181818181818182,15.325665473937988,58,625,0.0928,15.325665473937988
aunuu,23,121,0.19008264462809918,15.546388626098633,59,625,0.0944,15.546388626098633
matatula,30,121,0.24793388429752067,25.25002670288086,71,625,0.1136,25.25002670288086
poloa_UH,35,121,0.2892561983471074,93.05380249023438,104,625,0.1664,93.05380249023438
fagaitua,49,121,0.4049586776859504,72.9140396118164,119,625,0.1904,72.9140396118164
masefau,52,121,0.4297520661157025,152.05435180664062,125,625,0.2,152.05435180664062
maloata,53,121,0.4380165289256198,133.23707580566406,124,625,0.1984,133.23707580566406
aua,64,121,0.5289256198347108,141.6626434326172,163,625,0.2608,141.6626434326172
afono_UH,65,121,0.5371900826446281,176.2119598388672,157,625,0.2512,176.2119598388672
pioa_afono,67,121,0.5537190082644629,194.8870086669922,161,625,0.2576,194.8870086669922
airport80,68,121,0.5619834710743802,6.285780906677246,179,625,0.2864,6.285780906677246
toa_ridge_WRCC,68,121,0.5619834710743802,327.6857604980469,182,625,0.2912,327.6857604980469
mt_alava,70,121,0.5785123966942148,274.8962707519531,185,625,0.296,274.8962707519531
airport5101,72,121,0.5950413223140496,2.918877363204956,182,625,0.2912,2.918877363204956
satala,72,121,0.5950413223140496,107.1805648803711,182,625,0.2912,107.1805648803711
siufaga_WRCC,73,121,0.6033057851239669,116.75652313232422,185,625,0.296,116.75652313232422
vaipito_UH,76,121,0.628099173553719,141.17117309570312,178,625,0.2848,141.17117309570312
vaipito_res,76,121,0.628099173553719,138.0940704345703,178,625,0.2848,138.0940704345703
vaipito2000,81,121,0.6694214876033058,295.72821044921875,182,625,0.2912,295.72821044921875
aoloafou,82,121,0.6776859504132231,374.449462890625,152,625,0.2432,374.449462890625
iliili,82,121,0.6776859504132231,62.36106872558594,170,625,0.272,62.36106872558594
aasu_UH,84,121,0.6942148760330579,373.5989074707031,158,625,0.2528,373.5989074707031
aasufou80,90,121,0.743801652892562,390.8454284667969,159,625,0.2544,390.8454284667969
aasufou90,90,121,0.743801652892562,391.6141357421875,159,625,0.2544,391.6141357421875
malaeimi_1691,93,121,0.768595041322314,77.88367462158203,175,625,0.28,77.88367462158203
malaeimi,93,121,0.768595041322314,108.84663391113281,180,625,0.288,108.84663391113281
