split,n_total,n_zero,n_wet,pct_zero,pi0_mle,model,ll,k,aic,bic,pos_params,best_model_by_aic
train,35903,15833,20070,44.099378881987576,0.4409937888198758,hurdle_exponential,-103461.54288548016,3.0,206929.08577096032,206954.55149936964,"(0.2540000081062317, 18.681936264038086)",
train,35903,15833,20070,44.099378881987576,0.4409937888198758,hurdle_gamma,-199588.8599629149,4.0,399185.7199258298,399219.67423037556,"(np.float64(0.1077957951286852), np.float64(0.25400000810623163), np.float64(3.6079750517912665))",
train,35903,15833,20070,44.099378881987576,0.4409937888198758,hurdle_lognormal,-102191.224990483,4.0,204390.449980966,204424.40428551176,"(np.float32(1.3810527), -0.05439344234808784, np.float32(8.3518095))",
train,35903,15833,20070,44.099378881987576,0.4409937888198758,hurdle_weibull,-inf,4.0,inf,inf,"(np.float64(0.7134639757556165), np.float64(0.762000024318695), np.float64(13.16199077391208))",
train,35903,15833,20070,44.099378881987576,0.4409937888198758,best,,,,,,hurdle_lognormal
val_spatial,5348,1294,4054,24.19596110695587,0.2419596110695587,hurdle_exponential,-17935.06732588389,3.0,35876.13465176778,35895.88808558245,"(0.2540000081062317, 14.792150497436523)",
val_spatial,5348,1294,4054,24.19596110695587,0.2419596110695587,hurdle_gamma,-13244.811673201726,4.0,26497.623346403452,26523.961258156338,"(np.float64(0.4408585931478345), np.float64(0.25400000810623163), np.float64(34.62491209612324))",
val_spatial,5348,1294,4054,24.19596110695587,0.2419596110695587,hurdle_lognormal,-17456.697623053005,4.0,34921.39524610601,34947.7331578589,"(np.float32(4.9368987), np.float32(0.25399998), np.float32(1.7514102))",
val_spatial,5348,1294,4054,24.19596110695587,0.2419596110695587,hurdle_weibull,-14671.405290312421,4.0,29350.810580624842,29377.148492377728,"(np.float64(0.6371174574231053), np.float64(0.25400000810623163), np.float64(15.570813384571714))",
val_spatial,5348,1294,4054,24.19596110695587,0.2419596110695587,best,,,,,,hurdle_gamma
test_spatial,2379,701,1678,29.4661622530475,0.294661622530475,hurdle_exponential,-7174.803710612563,3.0,14355.607421225126,14372.930727756035,"(0.2540000081062317, 11.203850746154785)",
test_spatial,2379,701,1678,29.4661622530475,0.294661622530475,hurdle_gamma,-5431.928709048471,4.0,10871.857418096943,10894.955160138154,"(np.float64(0.5111395178572029), np.float64(0.25400000810623163), np.float64(25.3919237495047))",
test_spatial,2379,701,1678,29.4661622530475,0.294661622530475,hurdle_lognormal,-6897.0441970392985,4.0,13802.088394078597,13825.186136119808,"(np.float32(5.089568), np.float32(0.25399998), np.float32(1.2270291))",
test_spatial,2379,701,1678,29.4661622530475,0.294661622530475,hurdle_weibull,-5554.7254996691445,4.0,11117.450999338289,11140.5487413795,"(np.float64(0.5263588111070576), np.float64(0.25400000810623163), np.float64(11.228176640761372))",
test_spatial,2379,701,1678,29.4661622530475,0.294661622530475,best,,,,,,hurdle_gamma
val_temporal,1802,481,1321,26.69256381798002,0.2669256381798002,hurdle_exponential,-5963.247694635531,3.0,11932.495389271062,11948.985346585567,"(0.2540000081062317, 15.222311019897461)",
val_temporal,1802,481,1321,26.69256381798002,0.2669256381798002,hurdle_gamma,-4373.431120822164,4.0,8754.862241644329,8776.848851397002,"(np.float64(0.5618202833019116), np.float64(0.25400000810623163), np.float64(26.344057887850397))",
val_temporal,1802,481,1321,26.69256381798002,0.2669256381798002,hurdle_lognormal,-5840.9803329687165,4.0,11689.960665937433,11711.947275690107,"(np.float32(1.6298183), 0.09287916496324226, np.float32(5.6001773))",
val_temporal,1802,481,1321,26.69256381798002,0.2669256381798002,hurdle_weibull,-4201.307401199206,4.0,8410.614802398411,8432.601412151085,"(np.float64(0.47776581485755854), np.float64(0.25400000810623163), np.float64(12.133136944077549))",
val_temporal,1802,481,1321,26.69256381798002,0.2669256381798002,best,,,,,,hurdle_weibull
test_temporal,366,132,234,36.0655737704918,0.36065573770491804,hurdle_exponential,-1055.2836606536139,3.0,2116.5673213072278,2128.275221307432,"(0.25400012731552124, 12.0270414352417)",
test_temporal,366,132,234,36.0655737704918,0.36065573770491804,hurdle_gamma,-905.5815279383517,4.0,1819.1630558767033,1834.7735892103087,"(np.float64(0.2056599829318702), np.float64(0.2540001273155212), np.float64(6.314406875140335))",
test_temporal,366,132,234,36.0655737704918,0.36065573770491804,hurdle_lognormal,-1021.321861013135,4.0,2050.64372202627,2066.2542553598755,"(np.float32(5.1272283), np.float32(0.2540001), np.float32(1.3344481))",
test_temporal,366,132,234,36.0655737704918,0.36065573770491804,hurdle_weibull,-795.3722996679279,4.0,1598.7445993358558,1614.3551326694612,"(np.float64(0.6140378881575083), np.float64(0.2540001273155212), np.float64(12.519023200813916))",
test_temporal,366,132,234,36.0655737704918,0.36065573770491804,best,,,,,,hurdle_weibull
