split,p,mu,mean_unit_deviance
train,1.1,10.585306986592405,21.1941260389942
train,1.15,10.585306986592405,18.94110767912442
train,1.2,10.585306986592405,16.995900453870696
train,1.25,10.585306986592405,15.317602964908595
train,1.3,10.585306986592405,13.872071865838391
train,1.35,10.585306986592405,12.631078368330222
train,1.4,10.585306986592405,11.57170932076711
train,1.45,10.585306986592405,10.67603486433473
train,1.5,10.585306986592405,9.931110023939382
train,1.55,10.585306986592405,9.329462333619615
train,1.6,10.585306986592405,8.870392291576973
train,1.65,10.585306986592405,8.56280780299589
train,1.7,10.585306986592405,8.431295040304327
train,1.75,10.585306986592405,8.529871230685051
train,1.8,10.585306986592405,8.97677537610167
train,1.85,10.585306986592405,10.059290033118094
train,1.9,10.585306986592405,12.653585558802133
val_spatial,1.1,11.405590023168362,18.452959506021305
val_spatial,1.15,11.405590023168362,16.412953705856662
val_spatial,1.2,11.405590023168362,14.645154251995645
val_spatial,1.25,11.405590023168362,13.113189657664869
val_spatial,1.3,11.405590023168362,11.786343997685504
val_spatial,1.35,11.405590023168362,10.638814649741006
val_spatial,1.4,11.405590023168362,9.649145006443527
val_spatial,1.45,11.405590023168362,8.799838242202846
val_spatial,1.5,11.405590023168362,8.077183975630595
val_spatial,1.55,11.405590023168362,7.471376913190459
val_spatial,1.6,11.405590023168362,6.977103051929668
val_spatial,1.65,11.405590023168362,6.59498594321711
val_spatial,1.7,11.405590023168362,6.3348243819521795
val_spatial,1.75,11.405590023168362,6.223058329240674
val_spatial,1.8,11.405590023168362,6.321789130519
val_spatial,1.85,11.405590023168362,6.786233365449001
val_spatial,1.9,11.405590023168362,8.095028089069526
test_spatial,1.1,8.081662094457753,13.985882275961728
test_spatial,1.15,8.081662094457753,12.678065179732647
test_spatial,1.2,8.081662094457753,11.531391955700263
test_spatial,1.25,8.081662094457753,10.527158528228627
test_spatial,1.3,8.081662094457753,9.649569807424648
test_spatial,1.35,8.081662094457753,8.885474383049836
test_spatial,1.4,8.081662094457753,8.22420671623219
test_spatial,1.45,8.081662094457753,7.6575621700593395
test_spatial,1.5,8.081662094457753,7.179958466802481
test_spatial,1.55,8.081662094457753,6.7888921297013605
test_spatial,1.6,8.081662094457753,6.485913865500597
test_spatial,1.65,8.081662094457753,6.2786092780470755
test_spatial,1.7,8.081662094457753,6.1847261035472885
test_spatial,1.75,8.081662094457753,6.2414213240846275
test_spatial,1.8,8.081662094457753,6.528554737081777
test_spatial,1.85,8.081662094457753,7.2387669871630855
test_spatial,1.9,8.081662094457753,8.958041115788026
val_temporal,1.1,11.345286339918331,18.704768832096253
val_temporal,1.15,11.345286339918331,16.644234498250956
val_temporal,1.2,11.345286339918331,14.859849522049753
val_temporal,1.25,11.345286339918331,13.314752402484752
val_temporal,1.3,11.345286339918331,11.9778568954729
val_temporal,1.35,11.345286339918331,10.823102055011486
val_temporal,1.4,11.345286339918331,9.828884653300191
val_temporal,1.45,11.345286339918331,8.977682398758718
val_temporal,1.5,11.345286339918331,8.255904501749383
val_temporal,1.55,11.345286339918331,7.654058022825035
val_temporal,1.6,11.345286339918331,7.167424691975424
val_temporal,1.65,11.345286339918331,6.7976820324447615
val_temporal,1.7,11.345286339918331,6.5564969519211855
val_temporal,1.75,11.345286339918331,6.4737806309767905
val_temporal,1.8,11.345286339918331,6.618687185215843
val_temporal,1.85,11.345286339918331,7.16300933201507
val_temporal,1.9,11.345286339918331,8.6352587471428
test_temporal,1.1,7.851812952203177,15.128426021711789
test_temporal,1.15,7.851812952203177,13.729900813019224
test_temporal,1.2,7.851812952203177,12.505855299486914
test_temporal,1.25,7.851812952203177,11.436066039878844
test_temporal,1.3,7.851812952203177,10.503548879251547
test_temporal,1.35,7.851812952203177,9.694273011332369
test_temporal,1.4,7.851812952203177,8.997002039769303
test_temporal,1.45,7.851812952203177,8.403293555140534
test_temporal,1.5,7.851812952203177,7.90772327362613
test_temporal,1.55,7.851812952203177,7.508467021833505
test_temporal,1.6,7.851812952203177,7.208515054632673
test_temporal,1.65,7.851812952203177,7.018114364552456
test_temporal,1.7,7.851812952203177,6.959836058549677
test_temporal,1.75,7.851812952203177,7.079907353494926
test_temporal,1.8,7.851812952203177,7.476734250541706
test_temporal,1.85,7.851812952203177,8.386685295045954
test_temporal,1.9,7.851812952203177,10.527498644542954
