trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,temporal_units,na,nb,dropout_rate,base_lr,weight_decay,batch_size
0,9.087944030761719,1,4,1092,80,8,128,32,0.6,0.00010502105436744271,0.013311216080736894,512
1,9.163464546203613,0,0,598,48,20,256,64,0.5,1.7258215396625005e-05,0.0007523742884534858,1024
2,9.219642639160156,0,2,962,16,20,128,32,0.6,0.00043709904681305016,0.026619018884890575,1024
3,9.1521635055542,1,0,884,16,32,192,96,0.4,7.648565112369947e-05,0.004366473592979638,512
4,8.979314804077148,3,4,975,128,4,128,32,0.4,4.574578205475403e-05,0.0006516990611177178,256
5,8.837385177612305,2,0,1157,16,32,448,32,0.3,0.0002429095036825497,0.013199942261535026,512
6,9.198019027709961,1,0,1209,80,12,64,64,0.4,0.00017361170890393282,0.008178476574339543,256
7,9.401647567749023,2,3,936,112,16,320,64,0.3,1.5251209898002918e-05,0.000124247470836602,256
8,8.842876434326172,3,1,806,112,8,64,64,0.35,0.00037977679442478547,0.026568139241144935,512
9,8.904009819030762,0,4,923,112,32,192,32,0.35,5.3167142741246e-05,0.028447512555118206,256
10,9.109769821166992,2,2,1300,48,28,512,128,0.5,0.00021446835506796366,0.094861065051841,512
11,8.775405883789062,3,1,676,48,24,448,96,0.3,0.0004384522729774343,0.07141302967006803,512
12,8.90777587890625,3,1,468,48,24,448,96,0.3,0.00023774322820018174,0.08934857417740132,512
13,8.865793228149414,2,1,702,32,28,384,128,0.3,0.0004473904852388836,0.001760434411056527,512
14,8.973488807678223,3,1,715,32,24,512,96,0.35,0.0001366710411282548,0.050631069689519234,512
15,8.849617958068848,2,2,1079,64,28,384,96,0.45,0.0002910455241579086,0.008992263294265099,512
16,9.105796813964844,3,0,481,16,24,448,128,0.3,2.534195130966423e-05,0.002795856410573077,1024
17,8.959309577941895,2,1,624,32,32,384,64,0.35,0.00010334896712376816,0.018754956434543484,512
18,9.0796537399292,3,3,1118,64,16,448,96,0.45,0.00029610442082072305,0.05690945302174378,512
19,8.994059562683105,2,0,806,32,28,320,128,0.55,0.00048041916473064064,0.00570481276826524,1024
