trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
0,7.974570436795976,1,6,3536,160,4,12,64,112,0.2,0.001331121608073689,1.208754147305695e-07,512
1,7.893744663255748,0,1,2768,144,7,20,320,32,0.1,0.00012562773503807024,6.6723671704642e-06,512
2,7.866297223856198,2,0,3312,48,3,64,512,112,0.1,1.9634341572933304e-05,5.456725485601477e-05,2048
3,7.919840400675646,0,6,2688,176,6,36,320,32,0.3,0.002115429079726122,0.0005727904470799618,2048
4,7.874494235613516,0,1,2320,96,6,20,448,48,0.05,0.00042470585622618684,3.6618192203924245e-07,2048
5,7.844577798554471,3,1,2240,224,10,48,448,16,0.1,2.2264204303769678e-05,0.000283409042951477,512
6,7.988668394916611,1,2,3520,176,11,32,64,96,0.25,0.00048287152161792117,0.0001213022118116514,1024
7,7.9725406919665405,0,0,2288,176,6,36,512,32,0.1,0.0018477934173519257,8.226074946221031e-07,1024
8,7.752353732039476,4,5,3360,224,11,12,512,80,0.25,0.004878360603452143,1.8707420137660242e-06,2048
9,7.846897367841471,4,6,2240,144,7,16,64,48,0.3,9.324140221663475e-05,1.188946976953047e-05,2048
10,7.685433375595056,4,4,3952,256,12,4,192,80,0.2,0.009486106505184127,1.999386468976914e-06,2048
11,7.87212157090865,4,4,3984,256,12,4,192,80,0.2,0.009913650090006706,2.657797455558953e-06,2048
12,7.824207664504208,3,4,3984,256,9,4,192,80,0.2,0.009757155699747888,1.5799649615221195e-06,2048
13,7.936059054539963,3,4,3696,224,12,4,192,64,0.25,0.0045347836264729305,1.9189448374329766e-05,2048
14,7.872529456135691,4,5,3056,224,9,28,256,96,0.0,0.004284646900136092,4.802586909778852e-07,2048
15,7.928027514636942,3,3,3200,208,11,12,384,64,0.25,0.0009143844830217167,3.3639143644707535e-06,1024
16,7.828314117810424,4,5,3728,96,9,48,256,128,0.15000000000000002,0.004208922152230709,1.1194988999715337e-07,2048
17,7.737412813865956,2,3,2944,256,11,24,128,96,0.15000000000000002,0.00018283801981726792,3.350833114758463e-05,2048
18,7.97140050083787,2,3,2960,16,12,24,128,96,0.15000000000000002,0.00014789926245495862,3.5645719529763166e-05,512
19,7.747231304919249,1,2,2736,256,10,56,128,128,0.15000000000000002,4.816327671020212e-05,9.73532372766842e-05,1024
20,7.832154148951076,2,2,2528,112,8,44,128,112,0.05,0.00024688325718872945,6.689615076640202e-06,2048
21,7.748147190187518,1,2,2800,256,10,64,128,128,0.15000000000000002,4.8077431498039055e-05,0.00012019544908905385,1024
22,7.813313634851146,2,3,2928,256,10,56,128,128,0.2,4.7972813651932736e-05,5.418412041937135e-05,1024
23,7.858349910951504,1,2,2528,208,11,40,192,96,0.15000000000000002,1.1819304527569011e-05,0.0001608042275756036,1024
24,7.717810618805797,2,3,3120,240,12,56,256,112,0.2,4.779889807002601e-05,2.466915859801856e-05,1024
25,7.7941321771239345,3,4,3184,192,12,28,256,112,0.2,0.0002676919961124994,2.0823517113179863e-05,1024
26,7.721805999025892,2,3,2992,208,12,52,320,80,0.2,8.777085057222438e-05,6.239050973802993e-06,2048
27,7.728963742587717,3,3,3360,240,12,56,320,64,0.25,6.049118661675531e-05,7.282273137475046e-06,2048
28,7.8197047754370494,2,4,3104,208,12,52,384,80,0.2,2.5851071542269054e-05,3.7230786561333315e-06,512
29,7.774412933922242,1,5,3584,192,5,60,256,112,0.2,0.0007339478969946778,2.695766371156558e-07,1024
