trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
0,251.29409837521487,3,7,3536,160,4,12,32,112,0.30000000000000004,0.0003470266988650413,1.2674255898937194e-08,128
1,243.7428911642445,1,2,3168,112,5,40,80,48,0.2,1.9069966103000435e-05,8.431013932082453e-05,512
2,260.03024716242186,5,1,2352,256,12,52,160,16,0.35000000000000003,1.5876781526924002e-05,4.075596440072863e-08,512
3,248.97062889726342,5,2,3152,144,4,64,400,128,0.45,9.761125443110459e-05,0.00040679084943595444,1024
4,258.7874812990065,3,2,3696,96,5,36,80,112,0.0,0.008598737339212284,7.26480307482672e-05,512
5,245.02258953229503,6,6,2368,96,4,56,320,48,0.0,3.5884889113862586e-06,4.225874644996158e-07,512
6,244.0390025406208,1,5,3584,144,10,32,272,64,0.0,3.463037026119184e-07,1.4359718569878066e-08,1024
7,243.59561891577906,2,3,3568,64,3,20,96,128,0.4,0.00014689898077648803,0.0002276685024868624,512
8,250.7877672635649,7,7,2800,32,5,28,432,112,0.0,3.578792453502323e-05,1.2219544456335422e-06,1024
9,245.00106822443456,2,4,3488,96,12,64,144,64,0.15000000000000002,2.6558434508499886e-06,1.5290959455830345e-08,128
10,250.1072190490634,0,0,3952,16,8,4,192,96,0.5,0.002064609544836884,1.2362111116796766e-05,256
11,257.16288407804143,0,3,3088,64,7,20,16,32,0.2,0.000280338668063503,0.0009508481675893108,512
12,246.7801709094332,2,3,3152,192,3,44,112,80,0.4,5.832136013680299e-06,4.282485095862387e-05,512
13,246.35726495095528,2,4,2832,64,7,20,224,48,0.15000000000000002,3.867268904170173e-07,0.000167560901907719,256
14,246.70570998264137,4,1,3360,192,6,40,64,80,0.25,0.0009889935101493473,1.2923588388046083e-05,512
15,248.89504437676112,1,2,3824,64,3,20,496,16,0.1,6.970571586509776e-05,9.41265462229211e-06,512
16,239.44098987045723,8,5,2832,112,9,48,272,48,0.35000000000000003,1.0479943310350623e-05,0.00013278870257590124,512
17,249.12816885144036,8,5,2752,48,9,48,320,128,0.35000000000000003,1.1673596583650282e-07,0.0009771575006418684,256
18,241.66368697906492,8,5,2592,176,10,28,256,96,0.5,1.0338524853650097e-06,1.9368084677236454e-06,128
21,240.73984693936222,8,5,2592,240,10,28,272,96,0.5,1.4371740298169992e-06,2.533989267880568e-07,128
22,247.85110236425325,7,6,2480,256,10,56,336,32,0.45,1.1194111353163622e-06,1.5763300400165577e-07,128
23,241.17640514820508,8,5,2608,224,10,28,240,96,0.5,8.785684784888945e-07,2.1103614225754142e-06,128
24,240.7653214483631,7,6,2640,224,11,28,272,96,0.5,8.23909676428631e-06,2.848495574827366e-07,128
25,239.5536819590112,7,6,2976,224,11,36,368,80,0.45,8.26800558007223e-06,1.643684544839522e-07,128
26,243.588180129856,6,6,2960,224,9,36,384,80,0.4,2.4642610145601222e-06,9.218792975268308e-08,128
27,242.03690367892395,6,4,2976,240,11,44,352,64,0.45,1.0479943310350623e-05,7.894103404616811e-07,128
28,241.68191804895014,8,7,2272,192,9,48,496,80,0.35000000000000003,3.6675930370827014e-05,5.819306321042907e-06,128
29,240.8933176759375,7,5,2880,208,8,32,448,32,0.30000000000000004,1.438731971338818e-07,8.047724139674436e-08,128
30,244.02241172552294,8,6,3360,128,11,40,288,64,0.45,4.763312153033332e-06,3.732718817511259e-07,256
31,245.3881020587675,5,7,2688,160,12,8,208,112,0.30000000000000004,1.6060927649438458e-06,4.447422327081169e-08,128
32,245.24124043119596,7,4,2496,160,9,12,384,48,0.4,3.408877860329085e-07,4.121520233050301e-06,1024
33,244.4374192284665,7,6,2656,224,11,24,304,96,0.5,9.627182514012707e-06,3.6094873394675903e-07,128
34,245.7953083330834,6,6,2992,240,11,24,272,96,0.45,1.9581853574301018e-05,1.5051461643072182e-07,128
35,237.76971675613444,7,7,2496,240,11,36,352,112,0.5,7.472620239574137e-06,2.231201694023083e-07,128
36,241.4686146463637,8,7,2512,256,12,36,368,112,0.35000000000000003,2.9230555422386197e-05,3.6381017509732214e-08,128
37,239.92702154692904,4,5,2352,240,10,40,416,112,0.45,1.567432660433436e-05,8.186116956468442e-07,128
38,248.6201654519132,4,7,2240,112,9,44,416,112,0.4,8.361555863372872e-05,7.010075297438497e-07,128
39,251.61562047226425,4,7,2384,208,8,56,464,128,0.45,1.633458678881873e-05,9.078674615762375e-07,512
41,243.16438097705836,3,6,3248,128,10,52,352,48,0.30000000000000004,5.610232781278415e-05,3.9075263085014156e-05,1024
42,240.7393587521191,5,5,2352,256,12,40,416,128,0.35000000000000003,0.00016232299064319558,1.7687801621633644e-06,512
43,245.80358426702387,5,6,2736,208,11,48,464,16,0.25,5.832136013680299e-06,2.388902544046466e-05,128
44,240.33372900368548,5,5,2352,256,12,40,400,128,0.4,0.0001973072411270086,1.449895780955248e-06,512
45,247.91783642734092,6,4,2448,240,12,40,400,112,0.45,0.0008863244589378126,6.145729157869693e-07,512
46,241.0745464254115,3,5,2336,240,11,32,320,128,0.4,1.933499681099322e-05,4.360667151322892e-06,512
47,261.37343781541523,6,5,3056,256,10,52,352,112,0.45,0.0001493048739977732,1.3968169831582656e-06,512
48,246.66322157592936,4,7,2896,112,12,36,432,128,0.4,0.0004341964950505049,1.758795144338541e-07,512
49,242.15069488867502,5,4,2416,80,11,44,384,112,0.35000000000000003,3.2520254149904073e-06,6.396062123600464e-08,1024
50,244.09633443668244,7,3,2304,176,10,40,176,128,0.5,4.5299955467663885e-05,2.847775917647331e-08,512
51,243.29536364633108,5,6,2560,144,12,32,416,64,0.4,1.1528582798176225e-05,0.00038794291629408326,256
52,240.90151371235598,3,5,2784,208,9,48,304,80,0.45,2.9926903485993303e-05,8.241199978918923e-05,512
53,249.5558039308696,4,0,3232,96,11,60,464,112,0.30000000000000004,0.007406586700705921,2.4578739059622895e-06,128
54,241.82490679992233,4,5,2368,256,12,40,512,128,0.35000000000000003,0.00021839037286099092,4.948870692983821e-07,512
55,244.2879637327519,5,4,2416,240,12,44,416,128,0.25,0.0007364538144949761,1.5486060522050472e-06,512
56,248.98517087142056,6,5,2304,256,11,36,368,128,0.4,0.00012568160120183272,1.0915662100706983e-06,512
57,241.65643455818426,5,6,2512,224,12,40,432,112,0.35000000000000003,6.635487091649725e-06,2.8896763283222843e-06,512
58,247.93286822856257,7,5,2240,256,10,36,400,128,0.05,0.0003857668104199938,7.612917363891349e-06,512
59,251.31845868583437,6,4,2544,240,12,44,448,128,0.2,0.0017223229973326907,2.1455573325757974e-07,256
60,236.64815053003778,5,5,2688,224,6,52,368,96,0.45,0.00022366929351132548,5.688648602786112e-07,512
61,241.74111280291518,7,6,2704,192,7,60,336,96,0.5,4.139085708126392e-06,5.280349484721022e-07,128
62,245.5327557211507,8,6,2832,224,5,48,336,80,0.45,2.0820721492982755e-06,2.4706646431603195e-07,1024
63,247.1934529961261,3,7,2880,208,6,56,240,96,0.5,2.3838405785644515e-05,1.0601226022357571e-07,128
64,240.60926585537314,5,5,2464,240,6,52,368,112,0.45,0.000267878170111471,1.5988345856329962e-06,512
65,242.6353139227863,5,5,2624,224,5,52,368,112,0.45,0.0005920475435055259,1.0546295842494495e-06,512
66,240.57850447487704,5,4,2464,240,6,60,304,96,0.4,0.00027034944461043996,0.00016126221407654974,512
67,241.74967774408105,4,3,3024,80,4,64,304,80,0.4,9.898432949959543e-05,0.00019526574899902407,512
68,243.42621594425745,8,4,2928,224,6,60,288,96,0.5,1.3777584483687337e-05,0.00011704926305944339,512
