trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size,tweedie_p
0,251.84212043538227,1,6,3536,160,4,12,64,112,0.2,0.0003470266988650413,1.208754147305695e-07,256,1.6500000000000001
1,238.93982147653196,0,2,3168,112,5,40,128,48,0.1,1.9069966103000435e-05,0.0001382623217936986,1024,1.6
2,246.07189861855457,3,1,2352,256,12,52,192,16,0.2,1.5876781526924002e-05,3.077180271250686e-07,1024,1.6500000000000001
3,242.19092526389034,3,2,3152,144,4,64,448,128,0.3,9.761125443110459e-05,0.0004869640941520895,512,1.7000000000000002
4,245.38605592180463,1,1,3696,96,5,36,128,112,0.0,0.008598737339212284,0.00012273800987852966,1024,1.8
5,241.64252425768686,3,5,2368,96,4,56,320,48,0.0,3.5884889113862586e-06,1.998634077852888e-06,1024,1.75
6,244.34017435025922,0,4,3584,144,10,32,320,64,0.0,3.463037026119184e-07,1.3357240411974098e-07,256,1.9
7,241.6563634386913,1,2,3568,64,3,20,128,128,0.25,0.00014689898077648803,0.00030608522106722474,1024,1.75
8,241.89672069034694,4,6,2800,32,5,28,448,112,0.0,3.578792453502323e-05,4.673518999562746e-06,1024,1.9
9,242.12479599863104,1,3,3488,96,12,64,192,64,0.1,2.6558434508499886e-06,1.404584234402469e-07,256,1.6500000000000001
10,242.1688335035193,0,0,3952,208,7,44,256,16,0.1,1.1522742262754981e-07,3.151553491660758e-05,512,1.6
11,243.86186672410454,3,5,2272,96,6,52,320,48,0.1,3.073540906398709e-06,2.59169895318259e-06,1024,1.8
12,244.39293753957804,2,4,2720,16,8,52,384,48,0.05,3.5387505959236402e-06,2.279456317953204e-05,1024,1.8
13,251.77873734321497,4,4,3072,192,8,44,512,32,0.05,0.0007979240903661285,9.440502886724055e-07,1024,1.6
14,245.2301346100704,2,3,2608,64,3,44,256,80,0.15000000000000002,8.787108196266e-06,8.489841039595901e-05,1024,1.75
15,243.92420860234998,2,5,3136,112,6,4,384,80,0.05,6.734369397534176e-07,1.0484182026545616e-05,512,1.85
16,241.69538378352226,0,2,2944,64,5,56,64,48,0.15000000000000002,7.906464395444077e-07,1.128643312135354e-06,1024,1.7000000000000002
17,241.23582793429117,3,5,3312,176,7,36,192,32,0.05,2.826649360389498e-05,0.00014858644705810392,1024,1.7000000000000002
18,239.9005655161982,4,0,3328,192,9,28,192,32,0.1,0.001799144664358475,0.00015138917977947224,512,1.7000000000000002
19,244.85868142902427,4,0,3840,224,10,24,128,32,0.2,0.002141427096752209,0.000994612645045744,512,1.6
20,255.2829573289092,0,1,3328,240,10,16,64,16,0.1,0.004223109465145707,4.9129087058558676e-05,512,1.6500000000000001
21,241.1884189376027,4,3,3312,176,9,36,192,32,0.05,4.807602156488698e-05,0.0001892011095165574,512,1.7000000000000002
22,239.25211617639278,4,3,3312,176,9,40,192,32,0.15000000000000002,9.890035993214551e-05,0.0002665438197548557,512,1.7000000000000002
23,243.33354456674888,4,0,2944,128,9,28,128,64,0.15000000000000002,0.0006925772074241036,0.00098203930537914,512,1.7000000000000002
