trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,20.992295724374276,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,25.964865808133723,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,18.881808740121347,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,21.74920339937563,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,19.591922265511972,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,20.903133127424454,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,20.367633907883253,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,20.673312151873553,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,21.738476382361515,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,20.427574316660564,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,20.42203924391005,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,18.98370334837172,3,2,11,mlp,1.3,0.35,0.00013278454488008872,1.6827740091315096e-05,128
12,20.048176765441895,2,2,5,glu,1.95,0.35,0.00023136975888218448,5.754994996714336e-06,128
13,18.57955033690841,3,3,17,mlp,1.35,0.45000000000000007,0.0003326464611525283,8.764870300860706e-05,128
14,19.210113260481094,2,3,17,mlp,1.4500000000000002,0.5,0.0003691156332647951,0.00011680662319989236,128
15,18.8490252494812,1,3,17,glu,1.6500000000000001,0.45000000000000007,0.0009096015328440256,0.00032744840997347806,128
16,23.182372764304834,1,3,17,mlp,1.6500000000000001,0.45000000000000007,0.00030784931700983306,0.00027195368797066765,1024
17,18.339907398930304,3,3,15,glu,1.6,0.4,0.0004842649739243768,9.363249865626428e-05,128
18,18.986362492596665,3,1,13,mlp,1.6,0.4,8.899138585996433e-05,7.181574631177387e-05,128
19,19.996508880897807,3,3,15,glu,1.9000000000000001,0.4,0.0004943934408347137,4.094111103755211e-05,128
20,22.424978591777663,3,1,15,glu,1.35,0.30000000000000004,9.054367416963877e-05,6.8215077132985225e-06,1024
21,18.845494076057715,2,3,17,glu,1.6,0.45000000000000007,0.0005846246945151462,0.00030861644910832984,128
22,18.928819373801904,2,3,12,glu,1.55,0.45000000000000007,0.000490017273604689,0.00013097900091140166,128
23,19.877409246232776,3,4,16,glu,1.75,0.4,0.0002446161430895952,8.280751167253211e-05,128
24,18.84402706004955,2,3,14,glu,1.4000000000000001,0.5,0.0005858716549804046,0.00018923678042901388,128
25,18.995918715441665,3,2,13,glu,1.4000000000000001,0.5,0.00034056761697236573,5.1081727585934665e-05,128
26,19.110017705846715,2,4,15,mlp,1.5,0.5,0.00020813439082882434,0.0001782552919394238,128
27,18.642190403408474,3,3,14,glu,1.4000000000000001,0.4,0.0006633398412652902,0.0004911090643794315,128
28,22.78143916306672,3,3,12,mlp,1.3,0.30000000000000004,0.0003997943574584602,0.0005414500154874153,1024
29,22.015413884763365,3,4,13,mlp,1.55,0.4,0.000658838702828674,1.0741014847253087e-06,512
