trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,1.5075379610061646,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,1.835296869277954,0,0,3,lstm,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,0.9004614353179932,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,1.2767587900161743,1,0,8,lstm,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,1.6298174858093262,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,3.137687921524048,2,0,14,lstm,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,1.3605860471725464,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,1.9033347368240356,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,1.7262850999832153,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,1.5773885250091553,0,4,9,lstm,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,2.0671043395996094,0,2,0,lstm,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,0.9800618290901184,1,2,6,lstm,1.3,0.4,0.00016012804592945137,6.20981584029586e-05,128
12,7.167842388153076,0,2,5,lstm,1.95,0.4,0.00025253710106474506,0.00010723103933145472,128
13,0.9531391263008118,1,3,17,lstm,1.35,0.45000000000000007,0.0003470034737229974,8.64380195313648e-06,128
14,1.1519510746002197,2,3,17,lstm,1.4500000000000002,0.5,0.0004289466970063086,7.633519183320531e-06,128
15,1.4512494802474976,0,3,12,lstm,1.6500000000000001,0.30000000000000004,0.0009096015328440256,6.249890634788387e-06,128
16,1.5226600170135498,1,1,17,lstm,1.35,0.45000000000000007,0.00035773055684994203,1.2068605164306055e-06,1024
17,0.7869206666946411,0,3,12,lstm,1.05,0.30000000000000004,9.688744797920886e-05,6.440309512576207e-06,128
18,0.8507282137870789,0,1,11,lstm,1.05,0.30000000000000004,0.0001106909713177358,0.00028002029701973885,128
19,0.9332231879234314,0,1,12,lstm,1.05,0.30000000000000004,9.092982489921654e-05,0.0002451387922158967,128
20,1.7089028358459473,0,1,15,lstm,1.05,0.35,0.00010204163201769471,3.3860131541296387e-06,1024
21,0.9456167817115784,0,2,11,lstm,1.2000000000000002,0.25,8.061068047890001e-05,0.000477834785222997,128
22,0.9077404737472534,0,3,9,lstm,1.05,0.25,0.0001884929943634683,0.0009826740452177562,128
23,0.849361777305603,0,1,11,lstm,1.1500000000000001,0.35,6.748131129379845e-05,0.0003905225512783605,128
24,1.0182908773422241,1,1,13,lstm,1.1500000000000001,0.35,0.00011800963604221052,0.0003140977793243884,128
25,1.068616509437561,0,1,12,lstm,1.1500000000000001,0.30000000000000004,6.379698120168487e-05,0.00010873683292813618,128
26,0.9718549251556396,1,2,15,mlp,1.25,0.4,5.928705168609895e-05,3.018865107459297e-05,128
27,0.8857032060623169,0,1,8,lstm,1.05,0.35,0.00013442792181519973,0.0001622869846399732,128
28,2.169172525405884,2,0,11,lstm,1.6500000000000001,0.25,0.00023665487033503385,5.771068799394802e-05,1024
29,1.4429203271865845,1,4,13,mlp,1.1500000000000001,0.30000000000000004,2.6235149450860574e-05,0.00043170738485128623,512
