trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,0.5979540348052979,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,1.1389819383621216,0,0,3,lstm,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,0.6686367094516754,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,0.7804518342018127,1,0,8,lstm,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,0.688362717628479,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,2.89496111869812,2,0,14,lstm,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,0.6064856350421906,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,1.3615363240242004,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,0.6302784085273743,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,0.8630180060863495,0,4,9,lstm,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,2.7559354305267334,1,3,17,mlp,1.75,0.5,0.0008802280671756734,7.451617972708859e-05,1024
11,0.5529412105679512,1,2,15,mlp,1.05,0.35,0.0001752038947539102,0.00012281442738654532,128
12,0.5327379107475281,1,2,13,mlp,1.05,0.35,0.00026889221018823445,9.614554381825949e-05,128
13,0.5535163730382919,2,2,17,mlp,1.05,0.35,0.00021223297272287149,8.64380195313648e-06,128
14,16.089616775512695,1,1,13,mlp,1.95,0.45000000000000007,0.00028490395952304276,0.0002343673263230618,128
15,0.8945998847484589,2,2,5,mlp,1.35,0.4,9.666451671739586e-05,0.00010271536832435113,128
16,1.629134476184845,0,3,0,mlp,1.6,0.30000000000000004,0.00010321429136495575,0.00037977964212657344,128
17,0.7816179245710373,1,1,12,mlp,1.3,0.4,0.0004246072557261024,5.890074892732708e-06,128
18,0.5275599882006645,2,3,15,mlp,1.05,0.30000000000000004,9.749389181038403e-05,3.929869660039402e-05,128
19,1.1016582250595093,3,3,12,mlp,1.4500000000000002,0.30000000000000004,9.092982489921654e-05,4.4193610422626077e-05,128
20,1.5910526514053345,2,3,16,mlp,1.6,0.25,0.0003381953849866127,1.0835847514722128e-06,1024
21,0.5330717116594315,1,2,15,mlp,1.05,0.35,0.0001602251305692697,0.00011525139072691378,128
22,0.5881186723709106,2,2,14,mlp,1.05,0.4,0.00013253114742215198,2.057039891674187e-05,128
23,0.685439869761467,1,1,12,mlp,1.1500000000000001,0.30000000000000004,6.748131129379845e-05,4.894817455531711e-05,128
24,0.6970796585083008,2,3,16,mlp,1.25,0.45000000000000007,0.00022857113690337078,0.0001829702165336378,128
25,0.6363679245114326,1,2,15,mlp,1.1500000000000001,0.25,6.379698120168487e-05,0.0004667447454126063,128
26,0.5838899314403534,0,2,11,lstm,1.05,0.35,0.0001344943710768753,9.02110983569351e-05,128
27,0.8709368109703064,2,1,14,mlp,1.35,0.45000000000000007,0.0005915100048366957,3.00260491426586e-05,128
28,0.7502875328063965,3,3,17,mlp,1.25,0.4,0.00030753554399891563,2.6115933049796093e-05,1024
29,0.6371458768844604,1,4,13,mlp,1.1500000000000001,0.30000000000000004,0.00044622495973271057,1.0771633483949012e-05,512
