trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
11,0.45965489745140076,3,3,17,mlp,1.05,0.35,6.160206268291788e-05,1.3471483536400512e-05,256
13,0.4610411375761032,3,3,17,mlp,1.05,0.35,0.00021223297272287149,6.882570266766776e-06,256
18,0.46517889698346454,3,3,15,mlp,1.05,0.30000000000000004,0.00043402393107401326,4.338515505887483e-06,128
22,0.46864954630533856,3,3,15,mlp,1.05,0.25,0.0006355265020532592,9.598449518656333e-06,128
21,0.4762084086736043,3,3,15,mlp,1.05,0.30000000000000004,0.0003577081372046076,3.896833055917568e-06,128
26,0.4874662359555562,2,4,14,lstm,1.05,0.35,0.00025865309804539577,1.8167081682619092e-06,128
25,0.4954308271408081,3,2,16,mlp,1.1500000000000001,0.25,0.0009012414725117191,2.25245262479098e-05,256
12,0.5158978700637817,2,3,17,mlp,1.05,0.35,7.08508877662769e-05,9.009831029336421e-06,256
6,0.5255786329507828,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
4,0.5376721620559692,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
