trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,0.45584581792354584,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,0.8487370610237122,0,0,3,lstm,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,0.5991231401761373,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,0.5751886665821075,1,0,8,lstm,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,0.5309447348117828,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,2.111705720424652,2,0,14,lstm,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,0.46962467829386395,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,1.010261634985606,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,0.4308062940835953,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,0.6635489265124003,0,4,9,lstm,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,2.4524171352386475,3,2,0,mlp,1.75,0.5,0.0001640148320264181,0.0008519352624608344,1024
11,0.3965374678373337,2,1,6,mlp,1.05,0.35,0.0007556324348278079,0.00011740085777673135,512
12,0.3992310166358948,3,1,5,mlp,1.05,0.35,0.0003498227300675482,0.00020233435446609765,512
13,0.40182383358478546,2,1,5,mlp,1.05,0.35,0.00037363362286717955,0.00011606159532098588,512
14,13.387542883555094,3,1,3,mlp,1.95,0.45000000000000007,0.00028675834654958945,7.633519183320518e-06,128
15,0.6409529447555542,2,2,5,mlp,1.35,0.4,0.0009096015328440256,0.00024519167346631957,512
16,1.2087033987045288,3,1,0,mlp,1.6,0.30000000000000004,0.0002650336028996064,7.577091774737786e-05,512
17,0.6274606287479401,2,2,6,mlp,1.3,0.4,9.657967458772e-05,0.0003363074802121223,512
18,0.48940370480219525,3,3,3,mlp,1.05,0.30000000000000004,0.000550660298679499,5.3742087330443456e-05,128
19,0.861699104309082,2,1,12,mlp,1.4500000000000002,0.35,9.917679033087919e-05,0.00016644987679419193,1024
20,1.1591423749923706,1,3,17,mlp,1.6,0.5,0.0005397108120712699,6.8215077132985225e-06,512
21,0.39293046295642853,2,1,5,mlp,1.05,0.35,0.0002921657594451514,0.00011096877293678967,512
22,0.39088840782642365,2,1,4,mlp,1.05,0.4,0.00018844765047732763,0.00011743110970687302,512
23,0.4473598003387451,2,1,2,mlp,1.1500000000000001,0.4,0.00020335360657862297,9.605374477549937e-05,512
24,0.5624123513698578,2,2,7,mlp,1.25,0.45000000000000007,0.00013042908096992423,3.443565520518427e-05,512
25,0.47858092188835144,1,0,2,mlp,1.1500000000000001,0.45000000000000007,8.106799644857196e-05,0.000489833725360403,512
26,0.3951963931322098,2,1,4,lstm,1.05,0.25,0.00041095510535744966,1.989698110440246e-05,512
27,0.6250750174125036,1,1,4,lstm,1.25,0.25,0.00024362989142064144,1.9338610496754583e-05,128
28,0.6674994230270386,2,2,1,lstm,1.35,0.25,0.0003758958595852221,6.015584257383333e-06,1024
29,0.46506400406360626,2,0,4,lstm,1.1500000000000001,0.30000000000000004,0.0004846834648733191,1.0741014847253087e-06,512
