trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
22,0.7374273166060448,3,3,15,mlp,1.05,0.25,0.00021490810140904537,2.5421082454697664e-05,128
12,0.739674486219883,1,2,13,mlp,1.05,0.35,0.00026889221018823445,9.614554381825949e-05,128
26,0.7514278441667557,3,2,11,lstm,1.05,0.35,0.0003134213585228902,1.2717412469231573e-05,128
11,0.7553790062665939,1,2,15,mlp,1.05,0.35,0.0001752038947539102,0.00012281442738654532,128
18,0.7610303163528442,2,3,15,mlp,1.05,0.30000000000000004,9.749389181038403e-05,3.929869660039402e-05,128
13,0.7658477872610092,2,2,17,mlp,1.05,0.35,0.00021223297272287149,8.64380195313648e-06,128
29,0.7689290642738342,3,4,11,lstm,1.1500000000000001,0.30000000000000004,0.000529934391772257,1.2149314487897055e-05,512
21,0.7716418504714966,2,3,15,mlp,1.05,0.30000000000000004,8.297595270196308e-05,4.11578763882835e-05,128
0,0.7793878316879272,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
25,0.7953004539012909,3,2,17,mlp,1.1500000000000001,0.25,0.00013902217947139097,0.00015154335882339992,128
