trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,0.4917376935482025,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,2.03916335105896,0,0,3,lstm,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,0.5228828340768814,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,0.6455289721488953,1,0,8,lstm,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,0.5560724139213562,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,3.7212820053100586,2,0,14,lstm,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,0.460464745759964,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,1.7370185852050781,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,1.3240435123443604,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,0.7101321220397949,0,4,9,lstm,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,4.3829450607299805,1,2,17,mlp,1.75,0.5,0.00012717182468493133,0.00011746931059660674,1024
11,0.4295910447835922,1,3,15,mlp,1.05,0.35,0.00037337870210359125,6.630599890152516e-05,128
12,0.4216625392436981,1,3,17,mlp,1.05,0.35,0.00031757334805575927,0.00018183320013855016,128
13,0.41785280406475067,2,3,17,mlp,1.05,0.35,0.0003088131698053504,8.439235462511295e-06,128
14,21.092896461486816,2,3,17,mlp,1.95,0.45000000000000007,0.0002602659622563299,7.633519183320531e-06,128
15,0.7103091180324554,2,3,0,mlp,1.35,0.4,0.00023753233692608451,6.1474288594730336e-06,128
16,1.448596715927124,3,2,13,mlp,1.6,0.30000000000000004,0.0009412735530263232,1.2068605164306055e-06,128
17,0.7237042486667633,2,1,17,mlp,1.3,0.4,9.837618880533272e-05,5.890074892732708e-06,128
18,0.4116927981376648,1,3,6,mlp,1.05,0.30000000000000004,9.12188708211978e-05,0.00028002029701973885,128
19,1.00568088889122,2,2,5,mlp,1.4500000000000002,0.30000000000000004,7.409082286947841e-05,0.00042638674698525854,128
20,2.9180986881256104,3,4,5,mlp,1.6,0.25,0.0001735116726459747,3.280178498270797e-05,1024
21,0.4064866453409195,1,3,2,mlp,1.05,0.35,0.000355556534398618,0.00023450664765754713,128
22,0.3926103711128235,1,3,1,mlp,1.05,0.4,0.0005798638936325406,0.0009826740452177562,128
23,0.47040799260139465,0,3,0,mlp,1.1500000000000001,0.45000000000000007,0.0005732573176289358,0.0003477731697060855,128
24,0.5837113410234451,1,2,2,mlp,1.25,0.4,0.0004977592216515163,0.0009443482792892883,128
25,0.4921494275331497,1,4,2,mlp,1.1500000000000001,0.45000000000000007,7.292188737148698e-05,0.0005093276656804669,128
26,0.45591476559638977,0,1,5,lstm,1.05,0.25,0.0001633707812599389,0.00025110442362480357,128
27,0.5539994090795517,1,3,3,mlp,1.25,0.30000000000000004,0.0006913894409919647,9.544057666066839e-05,128
28,1.6175920963287354,1,2,1,mlp,1.35,0.5,9.051803288121152e-05,0.0009386697685683265,1024
29,0.47062137722969055,1,4,6,mlp,1.1500000000000001,0.4,0.000527651466682608,6.69621331907551e-05,512
