trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,2.434600591659546,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,1.5949833393096924,0,0,3,lstm,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,0.6814743876457214,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,1.171018362045288,1,0,8,lstm,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,0.9056371450424194,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,3.5315933227539062,2,0,14,lstm,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,0.5794848203659058,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,1.5082074403762817,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,0.877639889717102,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,0.7580475211143494,0,4,9,lstm,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,3.524306058883667,1,2,17,mlp,1.75,0.5,0.00012717182468493133,0.00011746931059660674,1024
11,0.6948614120483398,0,2,17,lstm,1.05,0.35,0.0007593429874288516,0.0009065660725299742,128
12,8.969840049743652,0,1,13,lstm,1.95,0.30000000000000004,0.00034677716092813913,0.00020853965478806556,128
13,1.043440580368042,1,1,0,mlp,1.3,0.2,7.718465203112484e-05,0.00038273846053689576,128
14,0.48497360944747925,2,3,6,mlp,1.05,0.5,0.0002573349681991579,0.00011680662319989236,128
15,0.7197316288948059,2,3,5,mlp,1.05,0.5,0.00027226910982836955,7.212111285047957e-06,256
16,1.0367482900619507,2,3,4,mlp,1.4500000000000002,0.4,9.307889855268508e-05,0.00011281033943163558,256
17,1.2129861116409302,3,3,1,mlp,1.6500000000000001,0.45000000000000007,0.00021477214216794778,5.618833877182913e-05,128
18,1.5979812145233154,2,1,6,mlp,1.35,0.30000000000000004,6.14155658586511e-05,0.00019067711997107712,1024
19,0.6135783791542053,1,3,15,mlp,1.1500000000000001,0.4,0.00042114539169380895,9.154863826060759e-05,128
20,0.6388625502586365,2,2,2,mlp,1.05,0.25,0.00013664923171753497,6.8215077132985225e-06,256
21,0.6467908024787903,1,3,15,mlp,1.1500000000000001,0.45000000000000007,0.0005471669645937564,9.94295725124832e-05,128
22,0.8442435264587402,1,3,12,mlp,1.1500000000000001,0.4,0.00034351657753826806,3.6516974721493224e-05,128
23,0.6792812943458557,1,4,15,mlp,1.25,0.45000000000000007,0.0004904278655351235,0.00015142813656480374,128
24,0.7397712469100952,1,2,11,mlp,1.05,0.4,0.00022018591501360394,0.0003833457946400926,128
25,0.6966352462768555,2,3,16,mlp,1.35,0.5,0.00034056761697236573,7.433012982785531e-05,128
26,0.9538712501525879,1,2,7,mlp,1.1500000000000001,0.35,1.7907929613796863e-05,1.9956081422778923e-05,256
27,1.3479716777801514,2,4,12,mlp,1.25,0.45000000000000007,5.6402483751373e-05,0.00031586006841840414,1024
28,1.22160804271698,3,3,15,mlp,1.6500000000000001,0.25,0.0009663860543127925,5.025891673574902e-05,128
29,1.2007781267166138,1,0,13,mlp,1.1,0.15000000000000002,0.00047771382677358113,1.0741014847253087e-06,512
