trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
14,0.6984024196863174,1,1,16,mlp,1.05,0.30000000000000004,0.00023150356736325152,0.0002343673263230618,128
6,0.7220832347869873,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
22,0.7227012574672699,1,1,12,mlp,1.05,0.4,5.5323738931041943e-05,0.00019865028102657642,128
25,0.723795360326767,1,0,12,mlp,1.05,0.4,0.00010210930009823048,6.375168464389973e-05,128
12,0.7352541744709015,2,1,1,mlp,1.05,0.35,7.08508877662769e-05,0.00020233435446609765,128
11,0.7382104396820068,3,1,3,mlp,1.05,0.35,3.0208778601692776e-05,0.0009593032924830355,128
21,0.7504414021968842,2,1,0,mlp,1.05,0.35,8.126626839729415e-05,0.0001954831875268248,128
8,0.7527860800425211,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
28,0.7537891626358032,1,1,17,mlp,1.1,0.5,1.8050165424887023e-05,0.000250433984615058,128
26,0.7679849743843079,1,1,15,lstm,1.1500000000000001,0.30000000000000004,4.9459910281694574e-05,9.522265379103721e-05,256
