trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,2.334664821624756,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,1.4534363746643066,0,0,3,lstm,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,0.7408618330955505,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,1.559722900390625,1,0,8,lstm,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,0.7847447991371155,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,3.0369856357574463,2,0,14,lstm,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,0.7212615013122559,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,2.051408290863037,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,1.0248963832855225,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,0.8560613393783569,0,4,9,lstm,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,2.5252087116241455,1,2,17,mlp,1.75,0.5,0.00012717182468493133,0.00011746931059660674,1024
11,0.6222125887870789,0,2,17,lstm,1.05,0.35,0.0007593429874288516,0.0009065660725299742,128
12,0.6412490606307983,0,1,17,mlp,1.05,0.35,0.00031014302220170556,0.00020233435446609765,128
13,0.7329170107841492,0,1,17,lstm,1.05,0.35,0.00035919878517752713,0.0009588302905439833,128
14,8.376675605773926,0,1,2,mlp,1.95,0.45000000000000007,0.0002764015190054694,0.0003204683864840418,128
15,0.8723350763320923,0,2,13,lstm,1.35,0.4,0.0009096015328440256,0.00030151185878432254,128
16,1.3830758333206177,2,3,5,mlp,1.6,0.30000000000000004,0.00026575078905265783,6.986228381681101e-06,128
17,0.7939088344573975,1,1,0,lstm,1.3,0.4,0.0004949528493335024,0.00017313307070527563,128
18,0.6594574451446533,0,3,15,lstm,1.05,0.30000000000000004,0.0001711470805066351,7.007663798917717e-05,128
19,1.0798814296722412,1,1,12,mlp,1.4500000000000002,0.35,9.092982489921654e-05,0.00044278065276384464,128
20,1.6882449388504028,0,2,17,lstm,1.6,0.5,0.0005722074794191667,1.0835847514722128e-06,1024
21,0.7104220390319824,0,3,15,lstm,1.05,0.30000000000000004,0.00015015010165735323,7.071048345533676e-05,128
22,0.7372356653213501,0,3,15,lstm,1.05,0.25,8.528035486444773e-05,7.309222981501612e-05,128
23,0.8289048671722412,0,3,16,lstm,1.1500000000000001,0.4,0.00021737378955623176,3.544625132162919e-05,128
24,0.8233252167701721,1,2,12,lstm,1.25,0.30000000000000004,0.00037764260491132185,0.00018923678042901388,128
25,0.7360047101974487,0,2,16,lstm,1.1500000000000001,0.25,0.0006905877986804736,0.0005147189098812068,128
26,0.6418653130531311,1,3,14,mlp,1.05,0.35,0.00036786839436120497,9.59482494146016e-05,128
27,1.0976767539978027,2,1,12,mlp,1.35,0.45000000000000007,0.0003990800764870286,0.00010628552062802259,128
28,1.253269910812378,1,2,14,mlp,1.25,0.35,0.0009597530705619615,0.00022980934046950045,1024
29,1.2665584087371826,1,4,13,mlp,1.1500000000000001,0.45000000000000007,0.000532398014636186,0.00043170738485128623,512
