trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
12,0.4859110414981842,0,1,17,mlp,1.05,0.35,0.00031014302220170556,0.00020233435446609765,128
11,0.49844610691070557,0,2,17,lstm,1.05,0.35,0.0007593429874288516,0.0009065660725299742,128
26,0.5056747198104858,1,3,14,mlp,1.05,0.35,0.00042155141162610347,0.00022942384374517722,128
22,0.5132107138633728,0,3,15,lstm,1.05,0.25,8.528035486444773e-05,7.309222981501612e-05,128
18,0.5404937267303467,0,3,15,lstm,1.05,0.30000000000000004,0.0001711470805066351,7.007663798917717e-05,128
23,0.54628986120224,0,3,16,lstm,1.1500000000000001,0.25,6.748131129379845e-05,3.544625132162919e-05,128
21,0.5464784502983093,0,3,15,lstm,1.05,0.30000000000000004,0.00015015010165735323,7.071048345533676e-05,128
6,0.5787031650543213,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
25,0.5806576013565063,0,2,16,lstm,1.1500000000000001,0.25,7.842259593966379e-05,0.0005147189098812068,128
13,0.596037745475769,0,1,17,lstm,1.05,0.35,0.00035919878517752713,0.0009588302905439833,128
