trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,1.4941556453704834,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,2.1609530448913574,0,0,3,lstm,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,1.593631461262703,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,1.749840259552002,1,0,8,lstm,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,1.6060137152671814,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,4.740695238113403,2,0,14,lstm,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,1.4539591073989868,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,2.4305468797683716,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,1.4839826822280884,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,1.8987755477428436,0,4,9,lstm,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,5.0583815574646,1,2,17,mlp,1.75,0.5,0.00012717182468493133,0.00011746931059660674,1024
11,1.3702096939086914,3,1,3,mlp,1.05,0.35,3.0208778601692776e-05,0.0009593032924830355,128
12,1.3500799015164375,2,1,1,mlp,1.05,0.35,7.08508877662769e-05,0.00020233435446609765,128
13,1.352979838848114,3,1,0,mlp,1.05,0.35,8.205296134487733e-05,0.0009588302905439833,128
14,24.547086000442505,2,1,0,mlp,1.95,0.45000000000000007,0.00026147713578108026,0.00033573611189486246,128
15,1.8660447299480438,3,2,0,mlp,1.35,0.4,8.055789963611464e-05,0.00030151185878432254,128
16,3.0269130170345306,2,1,4,mlp,1.6,0.30000000000000004,7.910903967295393e-05,6.986228381681101e-06,128
17,1.7175323739647865,3,2,5,mlp,1.3,0.4,0.0003143403240860526,0.00016008151735041255,128
18,1.3541389852762222,2,3,1,mlp,1.05,0.30000000000000004,0.00018765482455217314,6.589165182522109e-05,128
19,2.167557582259178,3,1,2,mlp,1.4500000000000002,0.35,8.331465596614027e-05,0.00046032550064393883,128
20,2.99631929397583,2,3,6,mlp,1.6,0.5,0.00011765569193080857,1.0835847514722128e-06,1024
21,1.359446331858635,2,3,1,mlp,1.05,0.30000000000000004,0.00028789017309147866,6.811353045358197e-05,128
22,1.3535831719636917,2,3,2,mlp,1.05,0.25,0.00016097297593513439,7.309222981501612e-05,128
23,1.480348415672779,2,2,2,mlp,1.1500000000000001,0.25,6.367060130647897e-05,0.00018704422265413185,128
24,1.6368666142225266,3,1,4,mlp,1.25,0.4,0.00017146561153670884,4.174562284025733e-05,128
25,1.498367503285408,1,2,0,mlp,1.1500000000000001,0.25,6.379698120168487e-05,0.00010751753646069521,128
26,1.3461950197815895,2,3,2,lstm,1.05,0.35,0.00041551578645063604,0.00048805526837015454,128
27,1.822877898812294,3,1,5,lstm,1.35,0.45000000000000007,0.0005225412275158975,0.0004911090643794315,128
28,1.61714506149292,2,0,1,lstm,1.25,0.35,0.0009641107173153198,0.0009166565182131979,1024
29,1.4791202545166016,1,4,3,lstm,1.1500000000000001,0.45000000000000007,0.0003680635793036034,0.00026565575194724227,512
