trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
18,0.40449239561955136,2,1,6,mlp,1.05,0.30000000000000004,0.000572747070268812,5.570774471302578e-06,128
11,0.40526317805051804,1,2,17,mlp,1.05,0.35,0.0008535339442862684,6.630599890152516e-05,128
21,0.41430431107680005,2,2,5,mlp,1.05,0.4,0.0009641083308670008,9.556292350809842e-06,128
26,0.41483158866564435,1,1,4,mlp,1.05,0.25,0.0003475155872789467,2.931617761099985e-05,128
22,0.41598761081695557,2,2,3,mlp,1.05,0.35,0.0009175207707595654,7.309222981501612e-05,128
14,0.42115764568249386,2,3,17,mlp,1.05,0.45000000000000007,0.0003841821349415882,7.633519183320531e-06,128
13,0.42808543642361957,1,3,17,mlp,1.05,0.45000000000000007,0.00042399781435062834,8.64380195313648e-06,128
23,0.4732689509789149,1,1,6,mlp,1.1500000000000001,0.4,0.0005973436217616394,1.1569632784248916e-05,128
25,0.4810182998577754,2,2,0,mlp,1.1500000000000001,0.35,0.0009553035390250456,1.156054876594627e-06,128
2,0.5154244502385458,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
