trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,0.7000911235809326,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,1.0089545249938965,0,0,3,lstm,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,0.8319524228572845,0,2,10,lstm,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,0.7725601196289062,1,0,8,lstm,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,0.7907504737377167,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,2.017953634262085,2,0,14,lstm,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,0.720438688993454,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,1.3839014172554016,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,0.7314836382865906,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,0.849524050951004,0,4,9,lstm,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,2.0485899448394775,1,3,17,mlp,1.75,0.5,0.0008802280671756734,7.451617972708859e-05,1024
11,0.74225914478302,1,2,15,mlp,1.05,0.35,0.0001752038947539102,0.00012281442738654532,128
12,8.280102252960205,1,1,13,mlp,1.95,0.30000000000000004,0.0003559627253162938,0.00018183320013855016,256
13,0.6943308711051941,2,3,17,mlp,1.05,0.2,8.490884120526892e-05,8.1487502050178e-06,512
14,0.9236382246017456,2,3,17,mlp,1.35,0.5,9.841595260456038e-05,7.633519183320531e-06,512
15,1.5643017292022705,2,4,12,mlp,1.6500000000000001,0.15000000000000002,9.666451671739586e-05,6.001805830476164e-06,512
16,0.6625906825065613,3,3,5,mlp,1.05,0.25,0.0004568540756768126,4.773618185168039e-05,512
17,0.8420578837394714,3,2,4,mlp,1.3,0.30000000000000004,0.00023755437463095165,1.2850334707145365e-06,512
18,0.6636974811553955,3,3,6,mlp,1.05,0.4,7.864130532762506e-05,6.635168628810325e-06,512
19,1.021846890449524,3,2,0,mlp,1.4500000000000002,0.4,0.0003494335795012589,2.9814479790708956e-05,128
20,1.3985192775726318,3,3,5,mlp,1.6,0.45000000000000007,0.00015282311612277902,3.4257478255908705e-06,1024
21,0.7168495059013367,3,3,2,mlp,1.05,0.25,6.765175835367294e-05,8.928176034284546e-06,512
22,0.6816765069961548,2,3,6,mlp,1.05,0.35,8.344470561669163e-05,1.4527361414158454e-05,512
23,0.7483757734298706,3,3,6,mlp,1.1500000000000001,0.4,6.167483463400898e-05,1.963747839586289e-05,512
24,0.7679867744445801,2,2,6,mlp,1.25,0.35,0.000286789926156506,5.778408681148335e-05,512
25,0.6958308219909668,3,4,2,mlp,1.1500000000000001,0.4,0.00014289403911827044,4.875424525506086e-06,512
26,0.7854798436164856,2,3,5,lstm,1.05,0.45000000000000007,3.109837136796692e-05,1.1498950210555334e-05,512
27,0.8466851115226746,3,1,0,mlp,1.35,0.25,0.000539266927764733,2.2289736386301694e-05,512
28,0.8279024362564087,2,2,8,mlp,1.25,0.35,6.989047421311638e-05,4.332931319146601e-06,1024
29,0.7067391276359558,3,4,3,mlp,1.1500000000000001,0.45000000000000007,0.00012869719625289324,4.133707913697254e-05,512
