trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
21,0.6512192572866168,1,3,16,mlp,1.05,0.35,0.0003131914949776023,0.00024930663259176735,128
22,0.6545368092400687,1,3,17,mlp,1.05,0.4,0.00048253352947164074,0.0004145995807533962,128
13,0.6568418570927211,2,3,17,mlp,1.05,0.35,0.0003088131698053504,8.439235462511295e-06,128
26,0.6583948561123439,1,4,13,lstm,1.05,0.25,0.00012141082236449951,0.0008501400469568161,128
11,0.6589537688664028,1,3,15,mlp,1.05,0.35,0.00037337870210359125,6.630599890152516e-05,128
12,0.659625666482108,1,3,17,mlp,1.05,0.35,0.00031757334805575927,0.00018183320013855016,128
18,0.6606957486697606,1,3,6,mlp,1.05,0.30000000000000004,8.227259159327022e-05,6.704800543200957e-06,128
6,0.7022470384836197,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
29,0.7033870220184326,1,4,12,mlp,1.1500000000000001,0.25,0.0006520238130010565,2.5973771424077595e-05,512
23,0.7122296009744916,0,2,17,mlp,1.1500000000000001,0.4,0.0006854651214601245,0.0003192192492033499,128
