trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,11.723339080810547,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,11.931061744689941,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,12.174562454223633,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,12.100011825561523,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,11.83338737487793,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,11.777209281921387,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,11.969078063964844,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,11.928903579711914,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,12.003678321838379,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,12.089500427246094,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,12.012824058532715,1,3,17,mlp,1.75,0.5,0.0008802280671756734,7.451617972708859e-05,1024
11,13.85051441192627,2,2,14,glu,1.75,0.35,0.0002455271839156045,0.00021094202845774792,512
12,12.558570861816406,2,1,13,mlp,1.95,0.15000000000000002,0.0003498227300675482,0.00020233435446609765,512
13,13.356973648071289,2,3,13,glu,1.7000000000000002,0.30000000000000004,0.00010649442263711502,8.1487502050178e-06,512
14,12.313730239868164,1,1,17,glu,1.6500000000000001,0.5,0.00045063791131621996,6.310425050245469e-05,128
15,11.778138160705566,3,2,5,mlp,1.9000000000000001,0.15000000000000002,9.666451671739586e-05,0.0003792799801265226,512
16,12.912198066711426,2,4,12,mlp,1.6,0.15000000000000002,1.0040658403011797e-05,9.508919199735567e-05,512
17,12.386573791503906,1,1,0,glu,1.4000000000000001,0.25,0.00010316978220772063,5.890074892732708e-06,512
18,12.275589942932129,1,3,15,mlp,1.85,0.4,0.0005790014345469145,3.557376429243919e-05,128
19,12.173731803894043,2,4,12,glu,1.6,0.1,0.00020415995100226864,0.00042638674698525854,1024
20,11.624977111816406,3,0,16,glu,1.3,0.25,1.8946974859640005e-05,1.0835847514722128e-06,512
21,11.571319580078125,3,0,16,glu,1.3,0.25,1.8346061169485035e-05,1.1273926795746848e-06,512
22,13.869728088378906,3,0,16,glu,1.3,0.30000000000000004,1.8155890903397006e-05,1.093496719002954e-06,512
23,11.830534934997559,3,1,17,glu,1.05,0.25,6.687371324725101e-05,1.0312568577414542e-06,512
24,11.392568588256836,3,2,15,glu,1.2000000000000002,0.4,1.9248410478504593e-05,3.1150436328346943e-06,512
25,12.186906814575195,3,2,15,glu,1.3,0.45000000000000007,1.7972652438652004e-05,2.4203355023207034e-06,512
26,11.789520263671875,3,0,16,glu,1.4000000000000001,0.35,3.069087324239172e-05,4.667562787424193e-06,512
27,11.756851196289062,3,1,11,glu,1.3,0.4,1.4357026882643277e-05,1.555698387472948e-06,128
28,12.78254508972168,3,0,16,glu,1.2000000000000002,0.4,2.6263774280483515e-05,3.723497657308136e-06,1024
29,13.132405281066895,3,1,14,glu,1.1500000000000001,0.30000000000000004,6.278464672225912e-05,1.6367083913029873e-06,512
