trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
24,11.392568588256836,3,2,15,glu,1.2000000000000002,0.4,1.9248410478504593e-05,3.1150436328346943e-06,512
21,11.571319580078125,3,0,16,glu,1.3,0.25,1.8346061169485035e-05,1.1273926795746848e-06,512
20,11.624977111816406,3,0,16,glu,1.3,0.25,1.8946974859640005e-05,1.0835847514722128e-06,512
0,11.723339080810547,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
27,11.756851196289062,3,1,11,glu,1.3,0.4,1.4357026882643277e-05,1.555698387472948e-06,128
5,11.777209281921387,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
15,11.778138160705566,3,2,5,mlp,1.9000000000000001,0.15000000000000002,9.666451671739586e-05,0.0003792799801265226,512
26,11.789520263671875,3,0,16,glu,1.4000000000000001,0.35,3.069087324239172e-05,4.667562787424193e-06,512
23,11.830534934997559,3,1,17,glu,1.05,0.25,6.687371324725101e-05,1.0312568577414542e-06,512
4,11.83338737487793,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
