trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,21.00921058654785,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,21.44383430480957,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,21.439836502075195,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,21.964466094970703,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,21.358810424804688,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,21.451704025268555,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,20.951391220092773,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,22.591585159301758,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,21.59992218017578,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,21.276758193969727,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,22.896642684936523,1,2,17,mlp,1.75,0.5,0.00012717182468493133,0.00011746931059660674,1024
11,20.997055053710938,1,3,15,mlp,1.05,0.35,0.00037337870210359125,6.630599890152516e-05,128
12,20.95027732849121,1,3,17,mlp,1.05,0.35,0.00031757334805575927,0.00018183320013855016,128
13,21.152740478515625,2,1,17,mlp,1.9000000000000001,0.45000000000000007,0.0002731282515727682,0.00018495885924991968,128
14,21.101598739624023,1,3,13,mlp,1.05,0.30000000000000004,7.107572580566118e-05,0.000326488468991012,128
15,21.08112335205078,2,1,0,mlp,1.35,0.4,0.0002170816028269183,7.212111285047957e-06,256
16,21.694168090820312,0,2,16,mlp,1.55,0.25,9.307889855268508e-05,0.00011109669556102937,256
17,21.656177520751953,1,3,12,mlp,1.3,0.30000000000000004,6.631832137981031e-05,0.00040246039135783117,128
18,21.030071258544922,2,1,6,mlp,1.6,0.4,0.00043402393107401326,5.832002642201001e-05,1024
19,21.065752029418945,0,3,15,mlp,1.4000000000000001,0.2,0.0007025792925794912,0.000986865235298902,128
20,21.922670364379883,1,2,12,mlp,1.1500000000000001,0.25,1.8946974859640005e-05,0.00018148866877972533,256
21,20.99164390563965,1,3,15,mlp,1.05,0.35,0.0003517054551848383,7.77568321834451e-05,128
22,21.30246925354004,1,3,17,mlp,1.05,0.35,0.00026376909485597216,0.00011743110970687302,128
23,21.027345657348633,1,4,15,mlp,1.1500000000000001,0.4,0.0001296182783912298,3.140712202950072e-05,128
24,21.14454460144043,2,2,12,mlp,1.25,0.30000000000000004,0.0003578400712960105,0.00018923678042901388,128
25,20.91806983947754,1,3,14,mlp,1.05,0.45000000000000007,0.0008731851068355456,0.0005147189098812068,128
26,21.005088806152344,0,4,14,glu,1.1500000000000001,0.5,0.0008755890861350156,0.0004325911903018443,256
27,20.97309684753418,1,3,16,mlp,1.25,0.45000000000000007,0.0005815176613036174,0.0004911090643794315,1024
28,21.140411376953125,2,1,5,mlp,1.1,0.15000000000000002,0.0009835394601435332,0.000250433984615058,128
29,21.041746139526367,1,2,13,mlp,1.1500000000000001,0.45000000000000007,0.0005373458368588121,1.0741014847253087e-06,512
