trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,31.06917381286621,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,38.83141326904297,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,30.803428649902344,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,30.86319351196289,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,31.344118118286133,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,32.88466262817383,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,31.2764892578125,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,31.744945526123047,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,31.13801383972168,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,31.078458786010742,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,32.168067932128906,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,31.294967651367188,1,2,6,glu,1.3,0.4,0.00016012804592945137,6.20981584029586e-05,128
12,32.92030715942383,0,1,5,glu,1.95,0.35,0.00034677716092813913,6.68658187027108e-06,128
13,31.354217529296875,1,1,17,glu,1.3,0.35,9.374211619032919e-05,0.00013238056709582476,1024
14,31.12941551208496,2,3,12,glu,1.55,0.45000000000000007,8.316264993185367e-05,7.633519183320518e-06,128
15,31.50895881652832,0,3,4,glu,1.05,0.30000000000000004,0.0002707502227121592,1.1130922167674145e-06,512
16,31.80379867553711,1,1,8,glu,1.25,0.30000000000000004,0.0009286629064971054,0.0003365107207239812,512
17,31.094449996948242,0,2,11,glu,1.4000000000000001,0.4,4.56094228023054e-05,4.806516343545825e-05,128
18,36.305206298828125,1,0,3,glu,1.6,0.25,0.00016952267532021335,2.535565239098585e-05,1024
19,31.686002731323242,2,2,1,glu,1.25,0.5,6.11710370565054e-05,0.0001264191707765804,128
20,32.494449615478516,0,1,8,glu,1.6500000000000001,0.35,2.255318383897499e-05,0.000416320010241933,512
21,31.411706924438477,1,4,12,mlp,1.1500000000000001,0.15000000000000002,0.0005298993984406826,6.083462207015099e-05,512
22,31.2452335357666,1,3,14,mlp,1.2000000000000002,0.1,0.0005027481919275914,7.008748616627641e-06,512
23,30.774709701538086,1,3,13,mlp,1.05,0.15000000000000002,0.00041862598705796374,4.684688036880546e-05,512
24,31.39867401123047,2,3,17,mlp,1.05,0.15000000000000002,0.00027489232531887025,3.673925519797681e-05,512
25,31.37738800048828,1,2,10,mlp,1.05,0.25,0.0008894342814380493,0.00021597201845581927,512
26,31.380495071411133,0,3,6,mlp,1.35,0.15000000000000002,0.0006283395575707346,1.1911057407380932e-05,128
27,33.49383544921875,1,2,15,glu,1.1500000000000001,0.4,0.0003553453796727549,9.50606500800398e-05,1024
28,31.071796417236328,2,3,12,mlp,1.25,0.2,0.00011888344018189024,3.5206189566399448e-06,512
29,31.43783950805664,1,4,9,mlp,1.2000000000000002,0.1,0.0006387409631187482,3.02230477935531e-05,512
