trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
23,30.774709701538086,1,3,13,mlp,1.05,0.15000000000000002,0.00041862598705796374,4.684688036880546e-05,512
2,30.803428649902344,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,30.86319351196289,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
0,31.06917381286621,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
28,31.071796417236328,2,3,12,mlp,1.25,0.2,0.00011888344018189024,3.5206189566399448e-06,512
9,31.078458786010742,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
17,31.094449996948242,0,2,11,glu,1.4000000000000001,0.4,4.56094228023054e-05,4.806516343545825e-05,128
14,31.12941551208496,2,3,12,glu,1.55,0.45000000000000007,8.316264993185367e-05,7.633519183320518e-06,128
8,31.13801383972168,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
22,31.2452335357666,1,3,14,mlp,1.2000000000000002,0.1,0.0005027481919275914,7.008748616627641e-06,512
