trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
23,10.268448829650879,3,1,4,glu,1.7000000000000002,0.4,0.0009746622034323315,0.00033454925111793657,128
26,10.323847770690918,3,1,2,mlp,1.6500000000000001,0.4,0.0005799157410092269,0.0002255399906825618,512
0,10.346484184265137,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
2,10.375338554382324,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
14,10.472047805786133,2,1,6,glu,1.55,0.5,0.0003884157010907158,7.18917024616384e-05,128
21,10.506580352783203,2,1,7,glu,1.55,0.5,0.00047535565334408825,6.863072000431661e-05,128
4,10.513665199279785,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
9,10.540413856506348,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
11,10.5628023147583,0,2,13,glu,1.05,0.35,0.0008535339442862684,0.0009500622010736461,128
19,10.56730842590332,2,3,14,glu,1.4000000000000001,0.1,0.0005912378731422024,0.0009924174530466065,128
