trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,26.45302391052246,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,21.9905948638916,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,16.531253814697266,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,21.835037231445312,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,18.652313232421875,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,41.63768005371094,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,16.560216903686523,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,21.55069351196289,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,38.048118591308594,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,17.73759651184082,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,19.529003143310547,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,15.918232917785645,1,2,17,mlp,1.05,0.35,0.00013278454488008872,0.00017037146148687603,128
12,21.805557250976562,0,2,16,glu,1.95,0.35,0.00023136975888218448,0.00018183320013855016,128
13,15.984743118286133,1,3,17,mlp,1.05,0.45000000000000007,0.0003326464611525283,0.00038273846053689576,128
14,15.240924835205078,2,3,17,mlp,1.05,0.45000000000000007,0.0002907818034371359,8.786195210100744e-05,128
15,15.91193962097168,2,3,13,mlp,1.35,0.4,9.666451671739586e-05,6.726356302293579e-05,128
16,21.78784942626953,2,3,12,mlp,1.55,0.45000000000000007,9.135418307081443e-05,6.986228381681101e-06,1024
17,15.528022766113281,2,3,12,mlp,1.35,0.4,7.887020180594196e-05,5.2610012201075185e-05,128
18,17.181596755981445,3,1,6,mlp,1.6,0.5,0.00035059866439212593,7.095306669784065e-06,128
19,18.97087287902832,2,3,12,mlp,1.3,0.4,7.052274131320022e-05,7.650369568148872e-05,128
20,27.527135848999023,3,1,4,mlp,1.4000000000000001,0.30000000000000004,0.00024899652149944473,3.138115484180637e-05,1024
21,15.715668678283691,2,3,14,mlp,1.35,0.4,9.323349154201844e-05,7.834072095871195e-05,128
22,15.940262794494629,2,3,15,mlp,1.6,0.45000000000000007,7.123822661662385e-05,0.00011743110970687302,128
23,14.980466842651367,2,4,15,mlp,1.3,0.4,0.00014481961462517508,3.230526921749038e-05,128
24,16.12958526611328,2,4,17,mlp,1.25,0.30000000000000004,0.0001713524523071786,3.584967820641992e-05,128
25,15.67515754699707,3,4,15,mlp,1.4500000000000002,0.45000000000000007,0.00034056761697236573,9.958411938749108e-06,128
26,16.548768997192383,2,4,12,mlp,1.1500000000000001,0.4,0.0004470644264844262,2.5282886134273597e-05,128
27,16.290016174316406,1,4,16,mlp,1.7000000000000002,0.5,0.00013493131343938182,3.962824674831159e-05,128
28,23.92043685913086,2,3,11,mlp,1.25,0.35,0.0002149956581031458,1.5876082925412642e-05,1024
29,22.367244720458984,1,4,13,mlp,1.1500000000000001,0.45000000000000007,0.000694544095233182,1.0741014847253087e-06,512
