trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
23,14.980466842651367,2,4,15,mlp,1.3,0.4,0.00014481961462517508,3.230526921749038e-05,128
14,15.240924835205078,2,3,17,mlp,1.05,0.45000000000000007,0.0002907818034371359,8.786195210100744e-05,128
17,15.528022766113281,2,3,12,mlp,1.35,0.4,7.887020180594196e-05,5.2610012201075185e-05,128
25,15.67515754699707,3,4,15,mlp,1.4500000000000002,0.45000000000000007,0.00034056761697236573,9.958411938749108e-06,128
21,15.715668678283691,2,3,14,mlp,1.35,0.4,9.323349154201844e-05,7.834072095871195e-05,128
15,15.91193962097168,2,3,13,mlp,1.35,0.4,9.666451671739586e-05,6.726356302293579e-05,128
11,15.918232917785645,1,2,17,mlp,1.05,0.35,0.00013278454488008872,0.00017037146148687603,128
22,15.940262794494629,2,3,15,mlp,1.6,0.45000000000000007,7.123822661662385e-05,0.00011743110970687302,128
13,15.984743118286133,1,3,17,mlp,1.05,0.45000000000000007,0.0003326464611525283,0.00038273846053689576,128
24,16.12958526611328,2,4,17,mlp,1.25,0.30000000000000004,0.0001713524523071786,3.584967820641992e-05,128
