trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,15.651460647583008,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,15.652058601379395,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,15.716567039489746,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,16.470317840576172,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,15.568581581115723,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,16.593852996826172,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,15.657936096191406,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,16.167184829711914,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,15.757545471191406,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,15.593400001525879,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,16.35186004638672,3,3,0,mlp,1.75,0.5,0.00012717182468493133,9.464114674843985e-06,1024
11,15.466337203979492,3,4,6,glu,1.35,0.35,5.0262483745214134e-05,1.3471483536400512e-05,256
12,16.191875457763672,3,3,5,mlp,1.95,0.35,7.088956969550554e-05,6.403094062646855e-06,256
13,15.492839813232422,2,4,17,glu,1.35,0.45000000000000007,0.00021223297272287149,8.64380195313648e-06,256
14,15.394943237304688,2,2,17,glu,1.5,0.45000000000000007,0.0002793893476876821,4.497864903124405e-06,128
15,15.418078422546387,2,2,4,glu,1.6500000000000001,0.4,0.00028808141682563036,1.1114362412179241e-06,128
16,15.52017879486084,2,2,3,glu,1.6500000000000001,0.45000000000000007,0.0002941856699291301,1.2068605164306055e-06,128
17,15.553053855895996,2,2,0,glu,1.6,0.4,0.00037786493443835287,3.908673104585156e-06,128
18,15.37479305267334,1,1,12,glu,1.8,0.5,0.0009176742850432979,1.3094540319011566e-06,128
19,15.527349472045898,1,1,17,glu,1.95,0.5,0.0008566802855146457,4.409273978911935e-06,128
20,15.498437881469727,1,1,12,glu,1.8,0.45000000000000007,0.0005164533685488008,1.8376317260119723e-06,128
21,15.372044563293457,2,2,15,glu,1.6,0.4,0.00026827784217682847,1.1089245172077755e-06,128
22,15.327346801757812,2,1,15,glu,1.85,0.5,0.0005511693763086068,1.0463386980545318e-06,128
23,15.422039031982422,1,1,15,glu,1.85,0.5,0.0009851922722179504,1.0316904989378724e-06,128
24,15.49467945098877,2,1,12,glu,1.85,0.4,0.0005844458487288985,2.2535168238953814e-06,128
25,15.337057113647461,1,1,15,glu,1.6,0.5,0.0004865492261355604,1.6976246712997479e-06,128
26,15.80950927734375,2,2,15,glu,1.6,0.30000000000000004,0.00010281835059878051,3.110613272145543e-06,1024
27,15.490677833557129,1,1,14,glu,1.7000000000000002,0.4,0.0003976072730389982,1.959237046424605e-06,128
28,15.665115356445312,0,3,16,glu,1.55,0.45000000000000007,0.00018700585050839176,5.830105213436359e-06,128
29,15.434722900390625,1,1,13,glu,1.4500000000000002,0.5,0.0004835240049187142,9.385311866530032e-05,128
