trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
22,15.327346801757812,2,1,15,glu,1.85,0.5,0.0005511693763086068,1.0463386980545318e-06,128
25,15.337057113647461,1,1,15,glu,1.6,0.5,0.0004865492261355604,1.6976246712997479e-06,128
21,15.372044563293457,2,2,15,glu,1.6,0.4,0.00026827784217682847,1.1089245172077755e-06,128
18,15.37479305267334,1,1,12,glu,1.8,0.5,0.0009176742850432979,1.3094540319011566e-06,128
14,15.394943237304688,2,2,17,glu,1.5,0.45000000000000007,0.0002793893476876821,4.497864903124405e-06,128
15,15.418078422546387,2,2,4,glu,1.6500000000000001,0.4,0.00028808141682563036,1.1114362412179241e-06,128
23,15.422039031982422,1,1,15,glu,1.85,0.5,0.0009851922722179504,1.0316904989378724e-06,128
29,15.434722900390625,1,1,13,glu,1.4500000000000002,0.5,0.0004835240049187142,9.385311866530032e-05,128
11,15.466337203979492,3,4,6,glu,1.35,0.35,5.0262483745214134e-05,1.3471483536400512e-05,256
27,15.490677833557129,1,1,14,glu,1.7000000000000002,0.4,0.0003976072730389982,1.959237046424605e-06,128
