trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,24.760377883911133,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,14.86560344696045,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,11.625762939453125,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,20.856809616088867,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,21.901384353637695,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,29.499906539916992,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,31.819726943969727,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,13.767502784729004,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,18.63848876953125,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,30.77732276916504,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,16.329259872436523,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,11.323390007019043,2,3,11,mlp,1.55,0.30000000000000004,0.0001734075036613794,1.6724233858517898e-06,128
12,12.649263381958008,2,2,5,glu,1.95,0.35,0.00021522496390829216,4.610995321504905e-06,128
13,11.237091064453125,2,3,17,mlp,1.6500000000000001,0.45000000000000007,0.00036334024574497697,8.305679319574604e-06,128
14,12.7767333984375,2,3,17,mlp,1.6500000000000001,0.5,0.0003075430606112463,7.633519183320531e-06,128
15,11.223115921020508,3,3,17,mlp,1.6,0.4,9.666451671739586e-05,1.0250000458127656e-06,128
16,17.619483947753906,3,3,17,mlp,1.9000000000000001,0.45000000000000007,9.252421241161543e-05,1.2068605164306055e-06,1024
17,13.45430850982666,3,2,15,mlp,1.6500000000000001,0.4,9.03754656332417e-05,5.890074892732708e-06,128
18,14.198302268981934,3,1,12,mlp,1.8,0.4,0.00038649361619090534,3.837692070632848e-06,128
19,12.425677299499512,3,3,16,mlp,1.6,0.45000000000000007,0.00012166191303014201,1.2492556671288457e-05,128
20,21.764867782592773,2,1,13,mlp,1.4000000000000001,0.4,0.00031340174269075985,1.0835847514722128e-06,1024
21,11.75265884399414,2,3,12,mlp,1.6,0.30000000000000004,0.00017137811989167604,2.067504287047397e-06,128
22,12.801887512207031,1,3,17,mlp,1.55,0.30000000000000004,6.375342252161546e-05,1.0442329213698038e-06,128
23,13.32315731048584,2,4,15,mlp,1.7000000000000002,0.35,0.00022620971674727438,2.4458903858416004e-06,128
24,12.03494644165039,2,3,6,mlp,1.5,0.45000000000000007,0.00012204779025762123,8.803984832356789e-06,128
25,15.564410209655762,3,2,12,mlp,1.85,0.4,0.00046755411899001794,3.211100869888916e-05,128
26,12.385991096496582,1,4,14,mlp,1.35,0.35,7.233931316102185e-05,3.6956658965347908e-06,128
27,13.283221244812012,2,3,16,mlp,1.55,0.25,0.0001681059481550426,1.4400448596768646e-06,128
28,13.024892807006836,3,3,2,mlp,1.7000000000000002,0.5,0.0005771985758839563,1.9022101998928757e-06,1024
29,15.907463073730469,1,4,13,mlp,1.4500000000000002,0.45000000000000007,0.00026668255723557606,3.30001541090549e-06,512
