trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,19.829153060913086,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,19.699920654296875,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,19.671707153320312,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,19.56270980834961,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,19.755138397216797,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,19.455175399780273,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,19.526905059814453,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,20.337364196777344,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,19.744667053222656,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,19.79153060913086,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,19.649497985839844,2,2,17,glu,1.85,0.5,0.0001640148320264181,0.0001475413095331083,1024
11,19.524730682373047,2,0,17,mlp,1.75,0.35,1.1767538931369403e-05,0.00017037146148687603,128
12,20.213993072509766,2,1,17,glu,1.75,0.4,1.1338502703913265e-05,0.00025884013116332454,128
13,19.864913940429688,2,1,13,mlp,1.7000000000000002,0.4,1.0923571675638464e-05,0.00034036140295661086,128
14,19.80262565612793,3,0,14,mlp,1.95,0.30000000000000004,9.34588413093879e-05,7.737864789719572e-05,128
15,21.269365310668945,2,1,1,glu,1.6500000000000001,0.5,2.1476691037834162e-05,7.212111285047957e-06,512
16,19.533117294311523,1,0,15,mlp,1.6,0.30000000000000004,1.888887319802537e-05,0.00035808112488559503,512
17,19.380596160888672,3,2,12,glu,1.8,0.4,7.358877259511644e-05,0.000995174466294331,128
18,19.77073097229004,3,3,6,glu,1.95,0.45000000000000007,0.0002825438981903478,0.0007435947079598449,1024
19,19.511672973632812,3,3,12,glu,1.85,0.25,9.092982489921654e-05,0.0009951301005209144,128
20,19.750064849853516,3,2,5,glu,1.55,0.15000000000000002,6.743627061669912e-05,7.71815612161521e-05,512
21,19.37237548828125,3,3,12,glu,1.85,0.25,0.0001641688449976511,0.0008771969470676169,128
22,19.627025604248047,3,3,12,glu,1.85,0.25,0.00025190969920898035,0.0004938971056230501,128
23,19.81600570678711,3,2,11,glu,1.75,0.15000000000000002,0.0003624774087469328,0.00027170735827675114,128
24,19.670211791992188,2,3,15,glu,1.85,0.35,0.00016123503977553063,0.0009800093807829048,128
25,19.514970779418945,3,2,12,glu,1.6500000000000001,0.4,6.536663937439917e-05,0.0004918725490042766,128
26,19.7283878326416,2,1,14,glu,1.95,0.45000000000000007,0.00013193210157356783,0.0002297264190426845,512
27,19.39192771911621,3,3,8,glu,1.8,0.15000000000000002,0.0004441772636238847,0.0004911090643794315,1024
28,19.659774780273438,3,3,8,glu,1.4000000000000001,0.25,0.0009685616995038256,0.0005282665100744275,1024
29,19.603736877441406,3,4,5,glu,1.9000000000000001,0.30000000000000004,0.0004565151139251595,1.0741014847253087e-06,1024
