trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
27,14.08949089050293,0,3,4,glu,1.05,0.5,0.00035378994430587294,0.0003096626065253604,128
2,14.145465850830078,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
22,14.470555305480957,0,2,1,glu,1.75,0.45000000000000007,0.0006294355906176123,0.0004699791189410423,128
10,14.611532211303711,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,14.660920143127441,0,2,0,glu,1.75,0.5,0.0008635078152685012,0.0009652700488941874,128
9,14.742310523986816,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
17,14.774639129638672,1,1,12,glu,1.35,0.30000000000000004,0.0003056188181162719,0.00045474918276225027,128
14,14.87497615814209,1,1,0,glu,1.6500000000000001,0.4,0.0009182405833596499,0.00010107256355014151,128
24,14.883649826049805,1,3,5,glu,1.4500000000000002,0.4,0.0004617849484508347,0.0005876948493707397,128
19,14.918471336364746,1,1,2,glu,1.35,0.25,8.80957032595802e-05,0.00011785121321390808,128
