trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,16.246807098388672,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,15.426007270812988,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,12.557246208190918,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,22.688783645629883,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,13.937575340270996,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,15.371581077575684,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,12.111533164978027,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,14.287264823913574,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,26.757326126098633,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,11.520719528198242,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,15.581929206848145,0,3,0,glu,1.9000000000000001,0.5,0.0001585823669519063,9.464114674843985e-06,1024
11,13.351402282714844,1,2,17,mlp,1.35,0.30000000000000004,6.156901195351681e-05,0.00011740085777673135,256
12,13.294783592224121,0,1,17,mlp,1.6500000000000001,0.4,3.027762444253676e-05,0.00018183320013855016,256
13,14.450657844543457,1,3,5,glu,1.05,0.2,8.673504782353498e-05,1.226871913948821e-05,256
14,12.912425994873047,2,1,13,glu,1.35,0.15000000000000002,2.0256221446491424e-05,5.46493596560671e-05,128
15,14.355637550354004,0,2,14,mlp,1.35,0.25,0.00012366603391772264,5.737016467850224e-06,256
16,13.611285209655762,1,4,5,mlp,1.55,0.15000000000000002,0.0002941856699291301,0.00011281033943163558,256
17,14.194620132446289,0,3,12,glu,1.05,0.30000000000000004,2.128683392739557e-05,0.00040246039135783117,256
18,12.916955947875977,1,1,16,mlp,1.25,0.45000000000000007,7.858248061555612e-05,2.4113781024076377e-05,128
19,16.712671279907227,2,0,1,glu,1.4000000000000001,0.25,4.592872750566687e-05,2.9120643287754136e-05,1024
20,13.293413162231445,0,2,7,glu,1.6,0.15000000000000002,0.00024899652149944473,1.0835847514722128e-06,256
21,12.115791320800781,0,2,10,glu,1.25,0.1,0.0009270922358494776,0.0007631876796185897,128
22,13.905945777893066,0,3,11,glu,1.3,0.1,3.0298108899048948e-05,0.0009826740452177562,128
23,11.204392433166504,1,1,8,glu,1.1500000000000001,0.2,0.000412998010547738,0.0003722566697170719,128
24,13.000211715698242,1,1,5,glu,1.1500000000000001,0.2,0.00033609758920029147,0.00020475956280338213,128
25,11.969123840332031,1,0,8,glu,1.1,0.35,0.0004823180374793205,8.770630122598223e-05,256
26,13.188966751098633,2,1,8,glu,1.1500000000000001,0.35,0.0006698991360182617,6.860398156928288e-05,128
27,17.661724090576172,1,0,7,glu,1.4500000000000002,0.35,0.000454117570307443,0.00031586006841840414,1024
28,12.50351619720459,1,1,3,glu,1.05,0.4,0.00021923641037232527,0.0004747901713680982,256
29,24.8675479888916,2,4,9,glu,1.2000000000000002,0.4,0.0004812743835157466,7.312513631481439e-05,512
