trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
23,11.204392433166504,1,1,8,glu,1.1500000000000001,0.2,0.000412998010547738,0.0003722566697170719,128
9,11.520719528198242,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
25,11.969123840332031,1,0,8,glu,1.1,0.35,0.0004823180374793205,8.770630122598223e-05,256
6,12.111533164978027,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
21,12.115791320800781,0,2,10,glu,1.25,0.1,0.0009270922358494776,0.0007631876796185897,128
28,12.50351619720459,1,1,3,glu,1.05,0.4,0.00021923641037232527,0.0004747901713680982,256
2,12.557246208190918,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
14,12.912425994873047,2,1,13,glu,1.35,0.15000000000000002,2.0256221446491424e-05,5.46493596560671e-05,128
18,12.916955947875977,1,1,16,mlp,1.25,0.45000000000000007,7.858248061555612e-05,2.4113781024076377e-05,128
24,13.000211715698242,1,1,5,glu,1.1500000000000001,0.2,0.00033609758920029147,0.00020475956280338213,128
