trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
21,14.667617797851562,0,4,12,glu,1.05,0.25,6.376512605781505e-05,1.1273926795746848e-06,128
22,14.747446060180664,0,4,13,glu,1.4500000000000002,0.15000000000000002,0.0001078675442970463,1.093051580891146e-06,128
9,14.934097290039062,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
13,15.05614185333252,0,3,17,glu,1.35,0.30000000000000004,7.618259786576339e-05,8.764870300860706e-05,128
25,15.089560508728027,0,4,13,glu,1.4500000000000002,0.15000000000000002,0.0002269480057822701,5.220811734044388e-06,128
20,15.270121574401855,0,4,11,glu,1.05,0.25,7.398365885399618e-05,1.0835847514722128e-06,128
26,15.305704116821289,1,3,9,mlp,1.25,0.2,0.00011516257492647986,3.027189101707397e-06,256
2,15.36347484588623,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
24,15.395588874816895,1,4,8,glu,1.5,0.15000000000000002,0.0001298047185117953,1.9287417391863254e-06,128
6,15.652764320373535,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
