trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,19.115036010742188,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,19.080949783325195,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,19.82095718383789,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,19.0722599029541,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,19.03134536743164,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,19.412364959716797,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,19.424922943115234,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,20.142885208129883,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,18.832782745361328,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,18.95878791809082,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,20.749788284301758,3,2,0,mlp,1.75,0.5,0.0001640148320264181,0.0008519352624608344,1024
11,19.03521728515625,3,1,6,glu,1.35,0.30000000000000004,2.3835326895677e-05,1.911335459061663e-05,128
12,19.345321655273438,2,3,5,mlp,1.95,0.4,2.197156326393198e-05,6.330778782171983e-06,256
13,18.89954948425293,0,1,17,glu,1.05,0.2,7.618259786576339e-05,0.00011606159532098608,512
14,19.238786697387695,2,1,17,glu,1.05,0.25,9.34588413093879e-05,0.0002343673263230618,512
15,19.26864242553711,1,1,12,mlp,1.05,0.2,9.666451671739586e-05,0.00010271536832435113,512
16,19.071308135986328,3,2,17,mlp,1.6,0.30000000000000004,0.0002941856699291301,0.00041716825639783383,512
17,19.836374282836914,0,1,6,glu,1.3,0.4,7.029760243033653e-05,5.2610012201075185e-05,512
18,19.846357345581055,1,1,3,mlp,1.05,0.25,1.6651249411303476e-05,0.0005945940035097087,512
19,19.295181274414062,2,3,12,glu,1.4500000000000002,0.15000000000000002,0.00018418776817629215,0.0001286092552955349,128
20,18.981433868408203,3,1,7,glu,1.1500000000000001,0.15000000000000002,6.859494903065242e-05,0.00027843515690566023,1024
21,19.543819427490234,0,2,4,glu,1.35,0.15000000000000002,3.2873758505061544e-05,9.404658811960982e-06,256
22,20.452781677246094,0,4,1,glu,1.3,0.2,1.6990875631526852e-05,2.8674368379182268e-05,256
23,19.12529945373535,0,2,9,glu,1.6,0.1,3.047475257809318e-05,4.749618241474941e-06,512
24,19.104751586914062,0,3,8,glu,1.1500000000000001,0.25,5.824564039856264e-05,7.424893392849808e-05,512
25,19.472049713134766,1,1,15,glu,1.4000000000000001,0.15000000000000002,1.4947639505870708e-05,1.156054876594627e-06,256
26,19.201562881469727,0,0,11,mlp,1.25,0.35,2.55478136590384e-05,2.9946487391033675e-05,128
27,19.348949432373047,1,1,7,glu,1.1,0.2,3.568816842014474e-05,0.0004911090643794315,1024
28,18.91454315185547,0,3,2,mlp,1.25,0.1,0.00011235655344325137,0.00018485402609814315,512
29,18.712730407714844,1,3,2,mlp,1.2000000000000002,0.5,0.00035225584359772157,0.00018405697311896577,512
