trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
26,17.375978469848633,2,3,15,glu,1.1500000000000001,0.4,0.000661220982216443,2.2182742537589975e-06,128
29,17.4034366607666,2,3,13,glu,1.2000000000000002,0.45000000000000007,0.0005590178147101728,3.931536123830897e-06,512
14,17.44651985168457,2,3,17,mlp,1.05,0.45000000000000007,0.0002793893476876821,4.0623465937602705e-06,128
23,17.47000503540039,2,3,12,mlp,1.1500000000000001,0.4,0.0006453497841524342,1.2548464557800281e-05,128
27,17.47401237487793,2,3,15,glu,1.35,0.5,0.0006897866830975266,2.7603644907873794e-06,128
11,17.47860336303711,3,2,6,mlp,1.05,0.35,3.0208778601692776e-05,1.0233397337909355e-05,128
13,17.53690528869629,2,3,17,mlp,1.05,0.45000000000000007,0.00021223297272287149,7.332616926559977e-06,128
24,17.54690933227539,3,4,12,mlp,1.1500000000000001,0.35,0.0008950741958185621,1.4783488062885283e-05,128
18,17.56879425048828,3,1,6,mlp,1.05,0.30000000000000004,0.00043402393107401364,4.2378607685073165e-06,128
15,17.569969177246094,2,1,4,mlp,1.35,0.4,0.00028808141682563036,1.0870124805766243e-06,128
