trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,11.453203201293945,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,10.920510292053223,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,11.206555366516113,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,12.328192710876465,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,11.508111953735352,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,12.131307601928711,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,11.356258392333984,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,12.186050415039062,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,11.626891136169434,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,11.351628303527832,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,14.530701637268066,0,2,1,glu,1.9000000000000001,0.5,0.00020358840762946278,1.08139169195176e-06,1024
11,10.721464157104492,0,2,2,glu,1.5,0.30000000000000004,0.0008155615961740859,6.352502797113638e-06,128
12,11.419987678527832,0,1,1,glu,1.55,0.35,0.00020816234299176747,5.287333995836024e-06,1024
13,11.282398223876953,0,1,4,glu,1.5,0.30000000000000004,0.0003321517206448546,5.224896973599631e-06,128
14,11.900367736816406,1,3,5,glu,1.7000000000000002,0.45000000000000007,9.34588413093879e-05,5.360315271797707e-06,128
15,10.596158981323242,0,3,3,glu,1.4000000000000001,0.30000000000000004,0.0009096015328440256,2.141585172066986e-06,1024
16,11.330177307128906,2,3,0,glu,1.6500000000000001,0.4,0.0009769298360381995,1.0584011055150863e-05,1024
17,10.827584266662598,1,2,3,glu,1.35,0.30000000000000004,0.0004563462126613327,1.2850334707145365e-06,128
18,10.919880867004395,0,3,6,glu,1.4000000000000001,0.35,0.0005786789321646705,2.9086710639420056e-06,128
19,11.304160118103027,1,3,2,glu,1.6,0.25,9.917679033087919e-05,8.818425405167816e-06,1024
20,12.92269229888916,0,2,17,glu,1.9000000000000001,0.4,0.0003104508596573526,3.623772025069865e-05,1024
21,10.672554969787598,1,2,3,glu,1.3,0.30000000000000004,0.0004887699291375205,1.1273926795746848e-06,128
22,11.085233688354492,1,1,4,glu,1.3,0.25,0.0007469908296633803,1.6364427596334558e-06,128
23,11.09920883178711,0,2,0,glu,1.4000000000000001,0.30000000000000004,0.000374318313130974,3.4491076193580577e-06,128
24,10.862212181091309,2,3,6,glu,1.3,0.4,0.0007024104821379073,1.0926479370950933e-06,128
25,10.955215454101562,1,2,2,glu,1.4500000000000002,0.35,0.0008948840434966297,3.6260847302665297e-06,128
26,11.201973915100098,0,2,5,mlp,1.8,0.25,0.00047364813306397956,7.943121478947576e-06,128
27,10.951231956481934,0,1,3,glu,1.6,0.30000000000000004,0.0002757430693074571,1.8568921442994594e-06,1024
28,10.92141342163086,1,3,1,glu,1.05,0.45000000000000007,0.0001364650270665468,1.9614804583070936e-05,128
29,11.13166332244873,1,4,7,mlp,1.25,0.25,0.0005474500816945754,4.159511478515563e-06,512
