trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
15,10.596158981323242,0,3,3,glu,1.4000000000000001,0.30000000000000004,0.0009096015328440256,2.141585172066986e-06,1024
21,10.672554969787598,1,2,3,glu,1.3,0.30000000000000004,0.0004887699291375205,1.1273926795746848e-06,128
11,10.721464157104492,0,2,2,glu,1.5,0.30000000000000004,0.0008155615961740859,6.352502797113638e-06,128
17,10.827584266662598,1,2,3,glu,1.35,0.30000000000000004,0.0004563462126613327,1.2850334707145365e-06,128
24,10.862212181091309,2,3,6,glu,1.3,0.4,0.0007024104821379073,1.0926479370950933e-06,128
18,10.919880867004395,0,3,6,glu,1.4000000000000001,0.35,0.0005786789321646705,2.9086710639420056e-06,128
1,10.920510292053223,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
28,10.92141342163086,1,3,1,glu,1.05,0.45000000000000007,0.0001364650270665468,1.9614804583070936e-05,128
27,10.951231956481934,0,1,3,glu,1.6,0.30000000000000004,0.0002757430693074571,1.8568921442994594e-06,1024
25,10.955215454101562,1,2,2,glu,1.4500000000000002,0.35,0.0008948840434966297,3.6260847302665297e-06,128
