trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,10.811247825622559,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,11.115478515625,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,10.996100425720215,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,11.248180389404297,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,10.958263397216797,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,11.334062576293945,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,11.307616233825684,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,11.126679420471191,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,10.864858627319336,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,11.054218292236328,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,10.784398078918457,1,3,17,mlp,1.75,0.5,0.0008802280671756734,7.451617972708859e-05,1024
11,10.823553085327148,1,3,17,mlp,1.75,0.5,0.0008631993250441818,7.057245384856724e-05,1024
12,11.437768936157227,1,3,14,mlp,1.95,0.4,0.0003498227300675482,9.614554381825949e-05,1024
13,10.895120620727539,2,4,17,mlp,1.7000000000000002,0.5,0.0003977140398452183,8.1487502050178e-06,128
14,11.291574478149414,1,2,13,mlp,1.6500000000000001,0.4,0.0001504883779789561,6.310425050245469e-05,512
15,11.353522300720215,2,3,12,mlp,1.9000000000000001,0.30000000000000004,0.0004242470964716834,0.00024519167346631957,1024
16,10.789999008178711,0,4,5,mlp,1.6,0.45000000000000007,0.0009763887676154115,6.986228381681101e-06,512
17,10.88713264465332,0,3,4,mlp,1.55,0.45000000000000007,0.00022741840095822586,5.668444134863839e-06,1024
18,10.67792797088623,0,2,6,mlp,1.85,0.45000000000000007,0.0009479884105275199,4.869302537251105e-06,128
19,11.259926795959473,0,1,1,mlp,1.85,0.45000000000000007,8.967388301647833e-05,1.3611838662411089e-06,128
20,11.105155944824219,0,1,1,mlp,1.8,0.35,0.000595406217023003,2.6688025015900358e-05,128
21,10.857027053833008,0,2,5,mlp,1.6500000000000001,0.45000000000000007,0.0009271113778002181,4.9183608925822956e-06,128
22,10.81529712677002,0,2,6,mlp,1.6,0.5,0.00028843674780589234,1.2430669242106068e-05,128
23,10.835338592529297,1,3,4,mlp,1.85,0.4,0.0009675834450898326,2.9547689813432915e-06,512
24,11.081391334533691,0,4,7,mlp,1.95,0.45000000000000007,0.0005918893467507134,8.570612274705314e-06,1024
25,10.746315956115723,1,3,2,mlp,1.4500000000000002,0.35,9.039082680444433e-05,1.156054876594627e-06,128
26,10.894892692565918,1,2,0,glu,1.35,0.35,8.767093296354457e-05,1.1912030201239225e-06,128
27,10.943387031555176,2,2,2,mlp,1.4000000000000001,0.30000000000000004,0.00012029439950124389,1.028896439269464e-06,128
28,11.044805526733398,1,3,3,mlp,1.5,0.4,6.81628221968808e-05,3.944695059218227e-06,128
29,11.006135940551758,1,1,11,mlp,1.75,0.5,0.00021675554510682733,1.7149822125905638e-06,128
