trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,14.641955375671387,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,14.679659843444824,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,14.577310562133789,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,14.938568115234375,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,14.766589164733887,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,14.713960647583008,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,14.600545883178711,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,14.94105052947998,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,14.55229377746582,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,14.593639373779297,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,14.723727226257324,3,2,0,mlp,1.75,0.5,0.0001640148320264181,0.0008519352624608344,1024
11,14.602286338806152,3,2,6,glu,1.05,0.35,0.0007593429874288516,0.0009391935906763813,128
12,14.98153018951416,2,2,5,glu,1.95,0.30000000000000004,0.00034677716092813913,0.00023615712370768317,128
13,14.704803466796875,0,1,17,mlp,1.3,0.2,8.322785098299972e-05,0.00041061940814141913,128
14,14.471830368041992,2,1,12,mlp,1.05,0.5,0.00030409489995156995,9.752521141499e-05,128
15,14.4984712600708,3,1,12,mlp,1.05,0.5,0.0003047143920015835,0.00010271536832435113,512
16,14.714863777160645,2,1,13,mlp,1.4500000000000002,0.5,0.0002941856699291301,7.994356607110713e-05,512
17,14.458307266235352,3,1,12,mlp,1.6,0.45000000000000007,0.0002297725399864419,5.890074892732708e-06,128
18,14.61032772064209,2,3,17,mlp,1.7000000000000002,0.4,0.0001239968011667104,5.278096767205609e-06,128
19,16.152755737304688,3,1,12,mlp,1.6,0.45000000000000007,9.092982489921654e-05,6.601791737883407e-06,128
20,14.520039558410645,2,3,15,mlp,1.9000000000000001,0.45000000000000007,0.000458032791868261,1.0835847514722128e-06,128
21,14.382627487182617,3,1,11,mlp,1.6,0.45000000000000007,0.00025744098072172063,9.46238138326856e-05,128
22,14.542783737182617,3,1,11,mlp,1.6,0.45000000000000007,0.00021192995856977932,3.7644765136171375e-05,128
23,14.48231029510498,3,1,15,mlp,1.6,0.4,0.0005044616805740906,1.3955573460594052e-05,128
24,14.650206565856934,2,2,12,mlp,1.35,0.4,0.00023028821676401303,5.2932580253276655e-05,128
25,15.31273078918457,3,0,8,mlp,1.6500000000000001,0.45000000000000007,0.0001416269989259987,0.00013454315915576443,1024
26,14.806951522827148,1,1,11,mlp,1.8,0.35,0.00038677353321043217,2.3208824750575813e-05,128
27,14.475257873535156,2,1,14,mlp,1.55,0.5,0.00022588682712398723,7.384455860450147e-06,128
28,14.595746994018555,3,2,9,mlp,1.4500000000000002,0.4,6.942909423782021e-05,0.00017997327246669013,128
29,14.645867347717285,1,0,13,mlp,1.8,0.45000000000000007,0.0006092039085546984,7.985134293271225e-05,128
