trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,18.291168212890625,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,18.532512664794922,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,18.329334259033203,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,18.209497451782227,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,18.623065948486328,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,19.041114807128906,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,18.33644676208496,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,19.452133178710938,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,18.419784545898438,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,18.350210189819336,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,19.486719131469727,1,2,0,glu,1.75,0.4,0.00014143084755100256,7.365085260779855e-06,1024
11,18.440458297729492,1,3,17,mlp,1.3,0.4,0.0007432308912830157,6.630599890152516e-05,512
12,18.79215431213379,1,1,5,mlp,1.95,0.35,0.0003498227300675482,6.755766004404807e-05,512
13,18.433591842651367,2,3,13,glu,1.05,0.30000000000000004,7.449612957401173e-05,5.419381974882767e-05,512
14,18.438512802124023,1,1,13,glu,1.55,0.5,0.0002751026396071756,7.633519183320518e-06,128
15,18.60875701904297,2,2,7,mlp,1.3,0.5,8.47877268613519e-05,0.0001643318240164368,512
16,18.312210083007812,0,4,12,mlp,1.2000000000000002,0.30000000000000004,0.0004568540756768126,3.04261914714584e-05,512
17,18.287891387939453,1,1,16,glu,1.4000000000000001,0.4,0.0002029641020421039,0.00014461682251646653,512
18,18.461116790771484,2,1,17,glu,1.6,0.4,0.00020219450031240736,0.00028002029701973885,128
19,19.7851505279541,0,0,4,glu,1.4000000000000001,0.45000000000000007,5.435758284865224e-05,0.00015006888629568355,1024
20,18.413373947143555,1,1,7,glu,1.6500000000000001,0.35,0.00011264323834018491,1.0835847514722128e-06,512
21,18.526941299438477,1,0,15,glu,1.25,0.35,0.0004796178111950887,4.4232515553545695e-05,512
22,18.391502380371094,1,2,12,glu,1.4000000000000001,0.45000000000000007,0.00025190969920898035,9.86951855432913e-05,512
23,18.712703704833984,1,1,16,mlp,1.1500000000000001,0.25,0.0009741889170463722,2.418411878565584e-05,512
24,20.48246192932129,2,0,12,glu,1.3,0.45000000000000007,2.4928473986229337e-05,0.00029051085628037154,512
25,18.315820693969727,1,3,15,glu,1.4000000000000001,0.25,0.0003984711280592033,9.688535389801348e-05,512
26,18.619930267333984,0,1,8,mlp,1.1,0.35,0.0005814971613544429,1.1911057407380932e-05,512
27,18.77122688293457,1,0,11,glu,1.05,0.30000000000000004,0.0001297463236134417,0.0004911090643794315,1024
28,18.463199615478516,2,2,5,mlp,1.25,0.4,0.00019262254716493634,3.801244618210007e-05,128
29,18.866565704345703,0,0,2,glu,1.4500000000000002,0.15000000000000002,6.745844635866993e-05,4.8789725985653065e-06,1024
