trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,11.851295471191406,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,12.17699909210205,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,12.662875175476074,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,12.001372337341309,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,11.304141998291016,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,13.157410621643066,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,11.450828552246094,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,13.837607383728027,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,12.90223217010498,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,12.100289344787598,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,12.733436584472656,3,3,0,mlp,1.75,0.5,0.00012717182468493133,9.464114674843985e-06,1024
11,11.504538536071777,2,2,17,mlp,1.05,0.35,6.160206268291788e-05,0.00012281442738654532,256
12,13.322871208190918,1,1,16,mlp,1.95,0.30000000000000004,7.088956969550554e-05,1.0849372359668385e-05,256
13,11.929746627807617,3,3,13,mlp,1.3,0.2,0.00021223297272287149,0.00013994253377574742,256
14,11.512187004089355,2,1,6,mlp,1.05,0.5,2.026364381103996e-05,4.574402866714039e-06,128
15,12.232352256774902,1,2,12,mlp,1.4000000000000001,0.15000000000000002,0.0002849536798146192,4.653707175577491e-05,256
16,12.626016616821289,3,4,15,mlp,1.55,0.25,9.31309714563888e-05,0.00024326194177487555,256
17,12.108674049377441,2,3,11,mlp,1.2000000000000002,0.15000000000000002,4.2073260471599844e-05,2.075854146607871e-05,256
18,11.019124031066895,1,1,4,mlp,1.6,0.4,3.9405136231494143e-05,8.423022978305697e-05,128
19,12.55615234375,0,1,4,mlp,1.6,0.4,1.7647774514861665e-05,5.924071501950614e-06,128
