trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,27.708572387695312,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,27.65660858154297,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,27.95957374572754,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,27.62451171875,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,27.98169708251953,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,28.11306381225586,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,27.807323455810547,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,28.678136825561523,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,27.894201278686523,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,27.760263442993164,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,28.44098663330078,1,2,0,glu,1.75,0.4,0.00014143084755100256,7.365085260779855e-06,1024
11,27.68428611755371,0,0,3,glu,1.4500000000000002,0.35,0.00016962424617606212,1.0808763299452563e-06,1024
12,28.109886169433594,0,1,5,glu,1.95,0.45000000000000007,0.00025253710106474506,5.077535860690427e-06,1024
13,27.62999153137207,1,1,2,glu,1.35,0.30000000000000004,7.340986938359993e-05,5.419381974882767e-05,128
14,27.799819946289062,2,1,0,glu,1.3,0.30000000000000004,6.915546926912039e-05,5.746132880124933e-05,128
15,27.757566452026367,1,2,17,glu,1.6500000000000001,0.5,7.326336347349739e-05,6.726356302293579e-05,128
16,28.558902740478516,1,1,5,glu,1.3,0.35,2.343465207874649e-05,3.049270264390029e-05,512
17,27.63962745666504,2,1,7,glu,1.55,0.30000000000000004,0.0002896075411970644,0.0001613378605702317,128
18,27.549442291259766,1,3,3,glu,1.3,0.4,9.47688790089239e-05,9.470360685091065e-06,128
19,27.764896392822266,2,3,12,glu,1.25,0.4,9.917679033087919e-05,9.240735909993238e-06,512
