trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,12.487311363220215,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,13.46025276184082,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,12.094321250915527,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,14.546324729919434,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,13.583507537841797,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,14.575762748718262,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,12.806777954101562,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,12.238046646118164,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,12.386340141296387,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,13.236465454101562,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,13.093666076660156,0,2,0,glu,1.75,0.5,0.0008834198287715506,0.0008522261645812476,128
11,13.55854320526123,2,3,11,mlp,1.55,0.30000000000000004,0.0001734075036613794,1.6724233858517898e-06,128
12,14.795929908752441,2,2,5,glu,1.95,0.4,0.00034677716092813913,4.540726226067318e-06,128
13,12.394750595092773,2,3,17,mlp,1.55,0.25,0.00010333816280893181,8.305679319574604e-06,1024
14,11.960906982421875,1,3,12,mlp,1.35,0.45000000000000007,1.3710070141031862e-05,0.00011680662319989236,128
15,13.926857948303223,0,1,12,glu,1.35,0.5,0.00026558638883542404,0.00010271536832435113,128
16,11.73752498626709,1,2,17,mlp,1.3,0.4,8.210306353345735e-05,0.0002931180935254348,128
17,13.748902320861816,1,3,17,mlp,1.35,0.4,8.151653542737603e-05,0.00030326722084904654,128
18,17.03063201904297,1,1,15,mlp,1.7000000000000002,0.45000000000000007,1.9943677116794687e-05,0.00028002029701973885,128
19,11.899517059326172,1,3,16,mlp,1.3,0.4,9.092982489921654e-05,5.175769357990665e-05,128
