trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,12.130049705505371,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,12.367127418518066,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,12.251235961914062,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,12.385279655456543,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,11.939385414123535,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,12.738046646118164,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,12.114615440368652,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,12.143921852111816,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,12.104334831237793,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,11.90166187286377,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,13.131226539611816,0,3,0,glu,1.9000000000000001,0.5,0.0001585823669519063,9.464114674843985e-06,1024
11,11.927773475646973,3,4,6,mlp,1.35,0.35,6.160206268291788e-05,1.3471483536400512e-05,256
12,12.093487739562988,2,3,5,glu,1.35,0.35,8.284436481232672e-05,7.842252662486992e-06,256
13,11.831803321838379,3,4,4,mlp,1.55,0.45000000000000007,0.00010086770554296178,2.188216671498391e-05,256
14,11.905550003051758,2,2,3,mlp,1.6,0.5,0.0003085403172870554,7.123997601134191e-05,128
15,12.567218780517578,1,4,17,glu,1.6500000000000001,0.45000000000000007,2.857466694947087e-05,4.287762706392994e-06,256
16,12.243952751159668,3,3,0,mlp,1.4000000000000001,0.4,0.00010124887121032517,1.2068605164306055e-06,256
17,11.992597579956055,0,4,4,glu,1.55,0.30000000000000004,2.128683392739557e-05,2.598716864259722e-05,256
18,12.461831092834473,1,1,12,glu,1.7000000000000002,0.45000000000000007,0.00016173070576094812,2.8089624872546723e-05,128
19,12.252067565917969,2,3,2,mlp,1.85,0.30000000000000004,0.0002941361935635432,9.945248595814384e-05,1024
