trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
13,11.831803321838379,3,4,4,mlp,1.55,0.45000000000000007,0.00010086770554296178,2.188216671498391e-05,256
9,11.90166187286377,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
14,11.905550003051758,2,2,3,mlp,1.6,0.5,0.0003085403172870554,7.123997601134191e-05,128
11,11.927773475646973,3,4,6,mlp,1.35,0.35,6.160206268291788e-05,1.3471483536400512e-05,256
4,11.939385414123535,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
17,11.992597579956055,0,4,4,glu,1.55,0.30000000000000004,2.128683392739557e-05,2.598716864259722e-05,256
12,12.093487739562988,2,3,5,glu,1.35,0.35,8.284436481232672e-05,7.842252662486992e-06,256
8,12.104334831237793,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
6,12.114615440368652,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
0,12.130049705505371,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
