trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
0,10.368324279785156,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
1,27.074235916137695,0,0,3,glu,1.4500000000000002,0.2,0.00016738085788752134,2.62108787826544e-06,1024
2,10.397889137268066,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
3,11.222315788269043,1,0,8,glu,1.25,0.35,4.201672054372529e-05,3.632486956676606e-05,512
4,10.512503623962402,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
5,11.727728843688965,2,0,14,glu,1.75,0.15000000000000002,1.0257563974185649e-05,0.0002795015916508333,512
6,10.707355499267578,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
7,12.52126693725586,2,3,10,mlp,1.5,0.25,1.1241862095793047e-05,2.107047280657824e-06,256
8,11.750165939331055,3,1,7,mlp,1.1,0.2,2.101079931010355e-05,0.0006153085601625311,512
9,10.552190780639648,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
10,21.505828857421875,1,3,17,mlp,1.75,0.5,0.0008802280671756734,7.451617972708859e-05,1024
11,10.704618453979492,0,2,13,glu,1.05,0.35,0.0008535339442862684,0.0009500622010736461,128
12,11.045475959777832,0,2,1,mlp,1.95,0.1,0.0003498227300675482,7.67221005965088e-06,128
13,10.551922798156738,1,3,12,glu,1.3,0.30000000000000004,0.0003790750273397406,0.0002098307172818092,128
14,10.392389297485352,2,1,6,glu,1.55,0.5,0.0003884157010907158,7.18917024616384e-05,128
15,11.015799522399902,2,1,5,mlp,1.6500000000000001,0.5,0.00013551057962031234,6.726356302293579e-05,512
16,11.003683090209961,2,1,5,mlp,1.6,0.4,0.0003660881538432121,5.65396569397683e-05,512
17,10.327094078063965,3,4,0,glu,1.4000000000000001,0.45000000000000007,0.00023936500836600484,6.748585572022363e-06,128
18,26.65879249572754,3,4,1,mlp,1.4000000000000001,0.4,0.00020219450031240736,5.3073051410762515e-06,1024
19,10.9227294921875,3,4,16,glu,1.1500000000000001,0.4,9.083738541081699e-05,5.692979705610595e-06,128
