trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
17,10.327094078063965,3,4,0,glu,1.4000000000000001,0.45000000000000007,0.00023936500836600484,6.748585572022363e-06,128
0,10.368324279785156,1,4,13,mlp,1.1500000000000001,0.1,0.0005399484409787432,6.358358856676247e-05,512
14,10.392389297485352,2,1,6,glu,1.55,0.5,0.0003884157010907158,7.18917024616384e-05,128
2,10.397889137268066,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
4,10.512503623962402,3,4,10,mlp,1.2000000000000002,0.1,4.473636174621264e-05,1.4656553886225336e-05,256
13,10.551922798156738,1,3,12,glu,1.3,0.30000000000000004,0.0003790750273397406,0.0002098307172818092,128
9,10.552190780639648,0,4,9,glu,1.35,0.1,2.8567374298471872e-05,1.9112758217777896e-05,256
11,10.704618453979492,0,2,13,glu,1.05,0.35,0.0008535339442862684,0.0009500622010736461,128
6,10.707355499267578,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
19,10.9227294921875,3,4,16,glu,1.1500000000000001,0.4,9.083738541081699e-05,5.692979705610595e-06,128
