trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,arch_type,tweedie_p,dropout,lr,wd,bs
14,15.888276100158691,2,3,17,glu,1.05,0.30000000000000004,0.0002756412626721501,0.00032033435680827924,128
17,16.001083374023438,2,3,12,glu,1.6500000000000001,0.30000000000000004,0.0003641213949871172,5.890074892732708e-06,128
16,16.11288070678711,2,3,17,glu,1.6,0.30000000000000004,0.000953800210725355,6.986228381681101e-06,128
11,16.20671844482422,0,2,17,glu,1.05,0.35,0.0007593429874288516,0.0009065660725299742,128
6,16.35223388671875,1,0,15,mlp,1.1,0.2,4.4706085467784903e-05,0.0001544608907504709,256
12,16.361520767211914,0,1,17,mlp,1.05,0.35,0.00031014302220170556,0.00020233435446609765,128
2,16.450298309326172,0,2,10,glu,1.2000000000000002,0.1,0.000790261954970823,0.0007886714129990489,128
18,16.499740600585938,3,3,6,glu,1.6500000000000001,0.4,0.0002825438981903478,5.278096767205609e-06,128
19,16.808914184570312,2,3,12,glu,1.95,0.25,0.00018418776817629215,1.4132599851955927e-06,128
13,16.886106491088867,1,1,14,glu,1.9000000000000001,0.45000000000000007,7.970012521326548e-05,0.0009819808274556545,128
